id,layer,label,definition,unit,scope
X18,exposure,Near-road resident exposure,Exposure of people living within 300 m of major roads,ug/m3,global
X19,exposure,Bus passenger and driver exposure,Exposure while waiting for boarding and riding buses,ug/m3,global
E16,effect,Lung cancer mortality,Deaths from lung cancer attributable to long-term PM2.5 and traffic pollution,deaths/yr,global
E17,effect,Adult asthma onset,New asthma cases in adults attributable to traffic pollution,cases/yr,global
E18,effect,Outdoor worker respiratory and cardiovascular outcomes,Occupational disease in riders vendors and site workers,cases/yr,global
E19,effect,Silicosis and occupational lung disease,Dust-related lung disease in construction workers,cases/yr,global
E20,effect,Cognitive performance loss from poor ventilation,Test and decision performance decrement at high indoor CO2,score,global
A19,action,Real-driving emissions conformity,In-service and PEMS testing of real-world NOx,measure,uae
A20,action,School bus clean technology,Fuel and aftertreatment standard of the school bus fleet,standard,abu_dhabi
A21,action,Demand-side management programme,Electricity and water demand reduction programme with measured savings,GWh saved,abu_dhabi
A22,action,Rider protection and scheduling,Masks route choice and shift timing for delivery riders,measure,global
A23,action,Clean cooking fuel and stall ventilation,LPG or electric cooking and exhaust capture at street stalls,measure,global
A24,action,Wind-targeted dust suppression,Sensor-triggered water spray aimed at the downwind receptor,measure,global
A25,action,Road setback and buffer planning,Minimum distance and vegetated buffers between homes and arterials,rule,global
A26,action,Idle-reduction technology,Auxiliary power units start-stop and electric HVAC on buses,measure,global
A27,action,Classroom ventilation upgrade,Demand-controlled or energy-recovery ventilation in classrooms,measure,global
A28,action,Coil cleaning and outdoor-unit filtration,Scheduled cleaning and filtration of outdoor HVAC coils,measure,gulf
