src,dst,sign,weight,share,tier,scope,citation,doi_or_url,fetched,evidence
X03,X01,-,3,,2,global,"Klepeis 2001, The National Human Activity Pattern Survey",10.1038/sj.jea.7500165,yes,"9386 US respondents reported spending an average of 87 % of their time in enclosed buildings and about 6 % in enclosed vehicles, so outdoor time is a small fraction of the exposure day."
X03,X08,+,1,,2,global,"Klepeis 2001, The National Human Activity Pattern Survey",10.1038/sj.jea.7500165,yes,"About 6 % of the day is spent in enclosed vehicles, the time base over which commuter exposure accrues."
S18,X08,+,3,,2,global,"Matthaios 2023, In-vehicle exposure to NO2 and PM2.5",10.1016/j.scitotenv.2023.165537,yes,"On-road air pollution was the most important predictor of in-vehicle exposure, accounting for 22.3 % of NO2 and 30 % of PM2.5 variability, with mean in-vehicle levels of 19 ug/m3 NO2 and 6.4 ug/m3 PM2.5."
S22,X08,+,3,,2,global,"Matthaios 2023, In-vehicle exposure to NO2 and PM2.5",10.1016/j.scitotenv.2023.165537,yes,"Vehicle-based factors (ventilation setting, recirculation, cabin filter type, cabin size, vehicle age) explained 48.7 % of NO2 and 61.3 % of PM2.5 in-vehicle exposure variability, with vehicles the third most occupied microenvironment after home and workplace."
X01,X12,+,2,,1,global,"Hajat 2015, Socioeconomic disparities and air pollution exposure, a global review",10.1007/s40572-015-0069-5,yes,"Most North American studies show areas where low socioeconomic status communities live experience higher concentrations of criteria air pollutants including NOx, European research is mixed, and Asia and Africa show a trend similar to North America."
S20,X04,+,2,,2,global,"Kumar 2022, A parent-school initiative to assess and predict air quality around a heavily trafficked school",10.1016/j.scitotenv.2022.160587,yes,"One year of gate monitoring at a UK primary school found peak concentrations of all pollutants during morning drop-off hours, and PM2.5 and NO2 exceeded threshold limits on 15 and 10 days as the school reopened."
S18,X04,+,2,,2,global,"Sharma 2020, Quantification of air pollution exposure to in-pram babies",10.1016/j.envint.2020.105671,yes,"On 89 runs of a 2.1 km school route during drop-off and pick-up hours the in-pram fine particle concentration was up to 44 % higher than at adult breathing height, with brake and tyre wear predominant at baby height."
S18,X04,+,2,,2,global,"Dirks 2016, Air pollution exposure in relation to the commute to school, Bradford",10.3390/ijerph13111064,yes,"Children walking to school received higher ultrafine particle dose than car commuters because of higher exposure and longer commute times, with peaks next to traffic queuing at intersections."
S21,X09,+,2,,2,gulf,"Yuan 2020, Dust events and indoor air quality in residential homes in Kuwait",10.3390/ijerph17072433,yes,"At 10 Kuwait City homes indoor PM2.5 was lower than outdoor with black carbon and elemental indoor to outdoor ratios of 0.31 to 0.64, and penetration efficiencies of 40 to 60 % in non-dust weeks."
S12,X09,-,2,,2,gulf,"Yuan 2020, Dust events and indoor air quality in residential homes in Kuwait",10.3390/ijerph17072433,yes,"Indoor PM2.5 mass was 18.0 ug/m3 during dust event weeks against 37.5 ug/m3 in non-dust weeks (p 0.04) because residents sealed homes, with indoor to outdoor ratios falling to 0.2 to 0.3 from 0.4 to 0.6."
S15,X03,-,2,,1,gulf,"Amoatey 2018, Indoor air pollution and exposure assessment of the GCC countries, a critical review",10.1016/j.envint.2018.09.043,yes,"Higher ambient temperature and humidity in the GCC countries has increased the time spent at homes, offices, cafes and shopping malls, and people spend a substantial amount of their time indoors."
S16,X03,-,1,,1,gulf,"Amoatey 2018, Indoor air pollution and exposure assessment of the GCC countries, a critical review",10.1016/j.envint.2018.09.043,yes,"Elevated ambient temperature, high relative humidity and dust storms are the stated reasons people in GCC countries spend a substantial amount of time indoors."
S12,X03,-,1,,1,gulf,"Amoatey 2018, Indoor air pollution and exposure assessment of the GCC countries, a critical review",10.1016/j.envint.2018.09.043,yes,"Natural events such as dust storms are listed with heat and humidity as reasons people in GCC countries spend a substantial amount of their time in indoor environments."
S21,X09,+,3,,1,gulf,"Amoatey 2018, Indoor air pollution and exposure assessment of the GCC countries, a critical review",10.1016/j.envint.2018.09.043,yes,"Indoor air pollution in most cities in the GCC region is reported to be due to infiltration of ambient air pollutants into residential buildings, poor ventilation, burning of Arabian incense and overcrowding, and people in GCC countries are highly exposed to indoor air pollutants."
X04,X06,+,2,,3,global,"Buonanno 2011, Tracheobronchial and alveolar dose of submicrometer particles for age groups in Italy",10.1016/J.ATMOSENV.2011.07.066,yes,"Combining microenvironment particle size distributions with the Italian Human Activity Pattern Survey, the highest dose contribution for children came from transportation (traffic-derived particles), for females from indoor cooking and for males from working time."
S20,X10,+,2,,2,global,"Rivas 2014, Child exposure to indoor and outdoor air pollutants in schools in Barcelona",10.1016/j.envint.2014.04.009,yes,"In 39 BREATHE schools indoor levels of the traffic-sourced pollutants NO2, black carbon and ultrafine particles were very similar to those outdoors, indicating easy penetration, and NO2 at schools was 1.2 times the urban background."
S03,X10,+,2,,2,global,"Rivas 2014, Child exposure to indoor and outdoor air pollutants in schools in Barcelona",10.1016/j.envint.2014.04.009,yes,"Mean child exposure to pollutants in Barcelona schools attained intermediate levels between urban background and traffic stations, with schools in the centre higher than the outskirts."
S20,X10,+,2,,2,global,"Hochstetler 2011, Aerosol particles generated by diesel school buses at urban schools",10.1016/j.atmosenv.2010.12.018,yes,"At four urban elementary schools outdoor particle number rose during morning drop-off and afternoon pick-up in proportion to bus and car counts, and indoor and outdoor aerosols were significantly associated for elemental carbon and total particle number, with I/O ratios governed by open windows and doors."
S03,X02,+,3,,3,global,"Achakulwisut 2019, Global national and urban burdens of paediatric asthma incidence attributable to NO2",10.1016/S2542-5196(19)30046-4,yes,"Population NO2 exposure was computed by overlaying 100 m land-use-regression NO2 on 250 m population grids, and 64 % of the 4.0 million NO2-attributable paediatric asthma cases occur in urban centres where intra-urban gradients concentrate exposure."
S03,X02,+,3,,3,global,"Anenberg 2022, Long-term trends in urban NO2 concentrations and paediatric asthma incidence",10.1016/S2542-5196(21)00255-2,yes,"Urban NO2-attributable paediatric asthma fractions rose 5 % in north Africa and the Middle East from 2000 to 2019 while falling 41 % in high-income countries, with two thirds of attributable cases in urban areas."
P13,X07,+,2,,2,uae,"Ahmed 2012, Dust exposure and respiratory symptoms among cement factory workers in the UAE",10.2486/indhealth.ms1320,yes,"Personal total dust for 149 exposed UAE cement workers ranged from 4.20 mg/m3 at the crushers to 15.20 mg/m3 in packaging, exceeding the exposure limit in packaging and raw mill areas, and only 19.5 % used masks all the time (edge outside the lane family, industrial process dust to worker exposure, recorded because it is the only UAE worker measurement found)."
X03,X05,+,3,,1,global,"US EPA 2011, Exposure Factors Handbook chapter 6 inhalation rates",https://www.epa.gov/sites/default/files/2015-06/documents/efh_highlights_chap6.pdf,yes,"Recommended short-term inhalation for children 6 to under 11 years rises from 4.8e-3 m3/min sedentary to 1.1e-2 light, 2.2e-2 moderate and 4.2e-2 m3/min high intensity, so outdoor active play multiplies ventilation about nine times over sitting."
X05,X06,+,3,,1,global,"US EPA 2011, Exposure Factors Handbook chapter 6 inhalation rates",https://www.epa.gov/sites/default/files/2015-06/documents/efh_highlights_chap6.pdf,yes,"Long-term inhalation is 12.0 m3/day for children 6 to under 11 and 15.2 m3/day for 11 to under 16 against 16.0 m3/day for adults 31 to 51, and the handbook defines inhaled dose as the inhalation rate applied to the air concentration."
S02,X11,+,1,,2,abu_dhabi,"Saqer 2024, Spatio-temporal characterization of PM10 concentration across Abu Dhabi Emirate",10.1016/j.heliyon.2024.e32812,yes,"Across 20 Abu Dhabi stations 2013 to 2017 the mean PM10 was 139.5 ug/m3 with quarterly station means from 38 to 325 ug/m3, and the authors state Al Ain, which stays below 215 ug/m3, emerges as a favourable residential option for individuals with respiratory vulnerabilities compared with Abu Dhabi and Al Dhafra regions."
S02,X10,+,1,,2,abu_dhabi,"Saqer 2024, Spatio-temporal characterization of PM10 concentration across Abu Dhabi Emirate",10.1016/j.heliyon.2024.e32812,yes,"Five monitoring stations sit at schools (Khadejah, Khalifa, Baniyas, Al Ain and Gayathi Schools) with quarterly mean PM10 between 67 and 176 ug/m3, Khalifa School reaching 176.13 ug/m3 in the third quarter, which is the ambient level at the school boundary (the source measures ambient at schools and does not itself measure classroom exposure)."
S22,X08,+,3,,1,global,"de Nazelle 2017, Comparison of air pollution exposures in active vs passive travel modes, quantitative review",10.1016/j.envint.2016.12.023,yes,"Across ten European studies car users tended to be the most exposed, up to 2.9 times pedestrians for black carbon, and bus, bicycle and car modes were 1.3 to 1.5 times pedestrian PM2.5 exposure, with transport microenvironments higher than other settings most people encounter."
S18,X08,+,2,,1,global,"Karanasiou 2014, Personal exposure to particulate air pollution during commuting in European cities, review",10.1016/j.scitotenv.2014.05.036,yes,"Commuting is one of the high-exposure periods among daily activities, especially in high vehicle-density metropolitan areas, and travelling by car involves exposure to relatively high PM and black carbon concentrations compared with cycling."
X03,X07,+,2,,2,uae,"Al Hurini 2024, Impact of increased heat on health domains of adults in the UAE",10.7759/cureus.74951,yes,"Of 397 adults surveyed in Ajman labour camps, mostly South Asian men in outdoor manual work, 331 (83.4 %) were exposed to outdoor heat for more than two hours per day, and working more than eight hours a day and occupation type were significantly associated with exposure duration."
X07,X12,+,1,,2,uae,"Al Hurini 2024, Impact of increased heat on health domains of adults in the UAE",10.7759/cureus.74951,yes,"Nationality and employment status were significantly associated with outdoor exposure duration, with participants from South Asia and single workers having longer exposure than others, so outdoor time and its exposures fall unevenly by migrant labour status (heat exposure measured, pollutant exposure inferred by the same outdoor time)."
# STATUS: complete, 44 edges, 27 sources
