src,dst,sign,weight,share,tier,scope,citation,doi_or_url,fetched,evidence
P14,S10,+,1,,2,gulf,"Bourtsoukidis 2019, Non-methane hydrocarbon sources and sinks around the Arabian Peninsula",10.5194/acp-2019-92,yes,"C2 to C8 hydrocarbons reached a maximum of 166.5 ppb of alkanes over the Arabian Gulf with an i-pentane to n-pentane ratio of 0.93 indicative of widespread oil and gas activities, and OH chemistry dominates their oxidation."
P20,S03,+,2,,2,gulf,"Friedrich 2021, Reactive nitrogen around the Arabian Peninsula during the 2017 AQABA campaign",10.5194/acp-21-7473-2021,yes,"In all marine regions NOx is strongly connected to ship emissions, via direct NO emission and via HONO photolysis, with mean NO2 lifetime 4.0 h in the Arabian Gulf."
S03,S09,+,1,,2,gulf,"Friedrich 2021, Reactive nitrogen around the Arabian Peninsula during the 2017 AQABA campaign",10.5194/acp-21-7473-2021,yes,"NOx is sequestered into NOz, with HNO3 on average 33 % of NOy and particulate nitrate in PM1 8 %."
P20,S09,+,2,,2,gulf,"Celik 2020, Vessel characteristics and atmospheric processes in ship emission plumes around the Arabian Peninsula",10.5194/acp-20-4713-2020,yes,"Larger ships use higher sulfur fuel and have higher SO2, particulate sulfate and PM emission factors, and gas-to-particle conversion of NOx and SO2 with ammonia uptake raises the inorganic particulate content as plumes age."
P20,S07,+,1,,2,gulf,"Celik 2020, Vessel characteristics and atmospheric processes in ship emission plumes around the Arabian Peninsula",10.5194/acp-20-4713-2020,yes,"Emission factors of black carbon and NOx in 252 ship plumes depended mostly on vessel speed and gross tonnage."
S14,S12,+,3,,3,gulf,"Prakash 2015, The impact of dust storms on the Arabian Peninsula and the Red Sea",10.5194/acp-15-199-2015,yes,"The 18 to 20 March 2012 storm was caused by a southward propagating cold front whose winds activated dust production including the coastal areas of the UAE, generating 94 Mt of dust, and the peninsula sees 15 to 20 dust storms per year."
S13,S03,-,2,,3,gulf,"Karumuri 2022, Impact of COVID-19 lockdown on ambient air pollutants over the Arabian Peninsula",10.3389/fenvs.2022.963145,yes,"WRF-Chem attributes the 50 to 60 % lockdown reduction in NO2 and SO2 over the peninsula mostly to reduced emissions and an increase in boundary layer height."
S15,P18,+,2,,3,gulf,"Karumuri 2022, Impact of COVID-19 lockdown on ambient air pollutants over the Arabian Peninsula",10.3389/fenvs.2022.963145,yes,"The lockdown increase in particulates over the central and northern peninsula is mainly due to increased dust emissions driven by stronger wind convergence and uplift and 15 to 25 % warmer surface temperatures over the deserts."
P01,S18,+,3,,1,global,"Liu 2019, Meta-analysis of near-road air pollutants based on concentration decay rates",10.1016/j.heliyon.2019.e02236,yes,"Meta-analysis of near-road measurements gives exponential decay rates with downwind distance of 0.0027 per m for NOx, 0.0004 per m for NO2, 0.0019 per m for CO and 0.0026 per m for BC."
P02,S18,+,3,,1,global,"Liu 2019, Meta-analysis of near-road air pollutants based on concentration decay rates",10.1016/j.heliyon.2019.e02236,yes,"Black carbon from traffic decays exponentially away from major roads at 0.0026 per m, so the near-road increment is concentrated within a few hundred metres."
P05,S20,+,3,,2,global,"Kumar 2020, A primary school driven initiative on commuting style for drop-off and pick-up",10.1016/j.scitotenv.2020.138360,yes,"PM2.5 at the school drop-off point was nearly three times the off-peak level during drop-off hours, indicating the dominant contribution of car queuing in the school premises."
S20,S21,+,2,,2,global,"Kumar 2020, A primary school driven initiative on commuting style for drop-off and pick-up",10.1016/j.scitotenv.2020.138360,yes,"In the naturally ventilated classroom indoor PM2.5 during both peak hours followed the outdoor concentration at the drop-off point with R2 between 0.58 and 0.67."
P05,S20,+,2,,2,global,"Mendoza 2022, Air quality and behavioral impacts of anti-idling campaigns in school drop-off zones",10.3390/atmos13050706,yes,"Idling may contribute up to 34 % or more to local air pollution levels, and a 38 % decrease in idling time at Salt Lake County schools was followed by mid-campaign air quality improvement, with inversions and season having substantial effects."
S13,S20,-,2,,2,global,"Mendoza 2022, Air quality and behavioral impacts of anti-idling campaigns in school drop-off zones",10.3390/atmos13050706,yes,"Seasonal variability and atmospheric inversion events had substantial effects on ambient pollutant concentrations measured at the school drop-off zones."
S18,S22,+,3,,2,global,"Hudda 2012, Linking in-vehicle ultrafine particle exposures to on-road concentrations",10.1016/J.ATMOSENV.2012.05.021,yes,"In-cabin UFP is predicted from roadway concentration, with air exchange rate the most significant determinant of the inside to outside ratio and ventilation setting, fan speed, vehicle age and speed explaining over 79 % of its variability."
S18,S22,+,3,,2,global,"Matthaios 2020, Within-vehicle exposure to NOx and particles with outside air quality route and ventilation",10.1016/j.atmosenv.2020.117810,yes,"Inside to outside ratios for PM10, PM2.5, PM1, UFP and NO2 were below 1 for most ventilation settings, lowest with windows closed, recirculation and AC on, and occupants were exposed to more on urban roads than ring roads or suburban roads."
S01,S21,+,2,,2,uae,"Anwar 2026, Indoor source apportionment of inorganic PM2.5 in a university building in the UAE",10.1155/ina/2235690,yes,"Key indoor PM2.5 contributors over a one-year campaign were mineral and resuspended dust, sea salt, heavy oil combustion, traffic and secondary aerosols, the same outdoor source set, showing ambient PM2.5 penetrates the building."
P01,S19,+,2,,1,global,"Vardoulakis 2003, Modelling air quality in street canyons, a review",10.1016/S1352-2310(02)00857-9,yes,"High pollution levels have often been observed in urban street canyons due to increased traffic emissions and reduced natural ventilation."
S14,S19,-,2,,2,global,"Karra 2017, Air flow and pollution in a real heterogeneous urban street canyon",10.1016/J.ATMOSENV.2017.06.035,yes,"Under persistent oblique wind CO mean concentrations in the canyon were lower overall by about 20 % than under perpendicular flow, leeward wall concentrations were twice the windward wall, and concentrations at 1.5 m were 20 to 50 % higher than at 2.5 m."
S14,S23,-,2,,2,uae,"Mohammed 2020, Canopy urban heat island and climate conditions in Dubai UAE",10.3390/cli8060081,yes,"Five-year night-time UHI intensity in urban Dubai was 3.3 degC above the rural station and a negative inverse correlation was found between UHI and wind speed for all wind directions except northerly."
P04,S18,+,3,,2,global,"Matthaios 2022, Roadway exhaust and non-exhaust contributions to ambient coarse and fine particles",10.1016/j.scitotenv.2022.155368,yes,"Non-exhaust traffic sources accounted for 65.6 % of roadway PM10-2.5 and 29.1 % of PM2.5-0.2 mass in greater Boston, versus 10.4 % and 20.7 % for exhaust, with road dust resuspension the largest coarse contributor at 29.6 %."
S14,P04,+,2,,2,global,"Matthaios 2022, Roadway exhaust and non-exhaust contributions to ambient coarse and fine particles",10.1016/j.scitotenv.2022.155368,yes,"Wind speed and relative humidity were significantly associated with both coarse and fine road dust resuspension with a combined relative importance of 38 % and 48 %."
P04,S01,+,2,,2,global,"Chen 2023, Contributions of non-tailpipe emissions to near-road PM2.5 and PM10, chemical mass balance",10.1016/j.envpol.2023.122283,yes,"At two Los Angeles near-road sites resuspended dust dominated PM2.5 at 23 to 33 % and brake and tire wear contributed 29 to 30 % of PM2.5 at I-5 against 19 to 21 % for tailpipe exhaust."
P04,S02,+,3,,2,global,"Chen 2023, Contributions of non-tailpipe emissions to near-road PM2.5 and PM10, chemical mass balance",10.1016/j.envpol.2023.122283,yes,"Resuspended dust contributed 32 to 53 % of near-road PM10 and brake and tire wear contributions to PM10 were 2 to 3 times the exhaust contributions."
P14,S05,+,3,,3,gulf,"Krotkov 2016, Aura OMI observations of regional SO2 and NO2 pollution changes 2005 to 2015",10.5194/ACP-16-4605-2016,yes,"Several SO2 hot spots observed over the Persian Gulf are probably related to oil and gas operations and indicate a possible underestimation of these sources in bottom-up inventories."
P14,S05,+,3,,4,abu_dhabi,"Khaleej Times 2018, Oil and gas and road transport top sources of air pollution in Abu Dhabi",https://www.khaleejtimes.com/uae/oil-and-gas-road-transport-top-sources-of-air-pollution-in-abu-dhabi,yes,"The EAD Abu Dhabi Air Emissions Inventory found the largest SO2 and NMVOC emissions located where offshore and onshore oil and gas activities are concentrated."
P01,S03,+,3,,4,abu_dhabi,"Khaleej Times 2018, Oil and gas and road transport top sources of air pollution in Abu Dhabi",https://www.khaleejtimes.com/uae/oil-and-gas-road-transport-top-sources-of-air-pollution-in-abu-dhabi,yes,"The EAD inventory found emissions of NOx, CO, PM10 and PM2.5 highest in areas with heavy road traffic and at Musaffah and Kizad industrial sites."
# STATUS: complete, 56 edges, 27 sources
