test,trial,block,jaccard
drop10,23,4,1.0000
drop10,24,1,1.0000
drop10,24,2,0.6667
drop10,24,3,0.9474
drop10,24,4,0.8261
drop10,25,1,0.6471
drop10,25,2,0.7000
drop10,25,3,0.9474
drop10,25,4,1.0000
drop10,26,1,0.8500
drop10,26,2,0.7727
drop10,26,3,0.4000
drop10,26,4,0.6087
drop10,27,1,0.6000
drop10,27,2,0.6667
drop10,27,3,0.7895
drop10,27,4,0.5652
drop10,28,1,0.6000
drop10,28,2,0.6087
drop10,28,3,0.9474
drop10,28,4,0.5333
drop10,29,1,0.6000
drop10,29,2,0.7000
drop10,29,3,0.7619
drop10,29,4,0.5172
drop10,30,1,0.6000
drop10,30,2,0.7000
drop10,30,3,0.7895
drop10,30,4,0.5517
drop10,31,1,0.5500
drop10,31,2,0.7000
drop10,31,3,1.0000
drop10,31,4,0.5333
drop10,32,1,0.5500
drop10,32,2,0.5500
drop10,32,3,0.4000
drop10,32,4,0.4643
drop10,33,1,0.6000
drop10,33,2,0.5500
drop10,33,3,0.7826
drop10,33,4,0.7407
drop10,34,1,0.6000
drop10,34,2,0.7000
drop10,34,3,0.7619
drop10,34,4,0.6667
drop10,35,1,0.6000
drop10,35,2,0.7000
drop10,35,3,0.9474
drop10,35,4,0.4839
drop10,36,1,0.6000
drop10,36,2,0.7000
drop10,36,3,1.0000
drop10,36,4,0.6400
drop10,37,1,0.5500
drop10,37,2,0.6000
drop10,37,3,0.6923
drop10,37,4,0.5517
drop10,38,1,0.6000
drop10,38,2,0.7000
drop10,38,3,0.5000
drop10,38,4,0.6087
drop10,39,1,0.6000
drop10,39,2,0.8696
drop10,39,3,0.5217
drop10,39,4,0.6522
drop10,40,1,0.4583
drop10,40,2,1.0000
drop10,40,3,0.9474
drop10,40,4,0.9565
drop10,41,1,0.6000
drop10,41,2,0.7000
drop10,41,3,0.8421
drop10,41,4,0.5517
drop10,42,1,0.6000
drop10,42,2,0.7000
drop10,42,3,0.5217
drop10,42,4,0.3611
drop10,43,1,0.6000
drop10,43,2,0.7000
drop10,43,3,0.5217
drop10,43,4,0.4828
drop10,44,1,0.6000
drop10,44,2,0.7500
drop10,44,3,0.8947
drop10,44,4,0.5926
drop10,45,1,0.6000
drop10,45,2,0.6667
drop10,45,3,0.7895
drop10,45,4,0.6522
drop10,46,1,0.9412
drop10,46,2,0.5714
drop10,46,3,0.9474
drop10,46,4,0.8462
drop10,47,1,0.6000
drop10,47,2,0.7000
drop10,47,3,0.7895
drop10,47,4,0.5517
drop10,48,1,0.4615
drop10,48,2,0.7000
drop10,48,3,0.8421
drop10,48,4,1.0000
drop10,49,1,0.8500
drop10,49,2,0.6667
drop10,49,3,0.9474
drop10,49,4,0.5517
drop10,50,1,0.5000
drop10,50,2,0.8696
drop10,50,3,1.0000
drop10,50,4,0.5333
drop10,51,1,0.6000
drop10,51,2,0.6667
drop10,51,3,0.3793
drop10,51,4,0.6957
drop10,52,1,0.6000
drop10,52,2,0.6667
drop10,52,3,0.8947
drop10,52,4,0.7391
drop10,53,1,0.6000
drop10,53,2,0.7000
drop10,53,3,0.5217
drop10,53,4,0.6522
drop10,54,1,0.6000
drop10,54,2,0.7000
drop10,54,3,0.5714
drop10,54,4,0.6522
drop10,55,1,0.6000
drop10,55,2,0.7000
drop10,55,3,0.8421
drop10,55,4,0.5517
drop10,56,1,0.6000
drop10,56,2,0.6667
drop10,56,3,0.8095
drop10,56,4,0.4828
drop10,57,1,0.6000
drop10,57,2,0.6500
drop10,57,3,0.9500
drop10,57,4,0.5517
drop10,58,1,0.6000
drop10,58,2,0.7000
drop10,58,3,0.4167
drop10,58,4,0.7826
drop10,59,1,0.6000
drop10,59,2,0.6500
drop10,59,3,0.5714
drop10,59,4,0.4828
drop10,60,1,0.6000
drop10,60,2,0.6667
drop10,60,3,0.9474
drop10,60,4,0.6667
drop10,61,1,0.6000
drop10,61,2,0.7000
drop10,61,3,0.5455
drop10,61,4,0.4828
drop10,62,1,0.6000
drop10,62,2,0.7000
drop10,62,3,0.6818
drop10,62,4,0.6667
drop10,63,1,0.6000
drop10,63,2,0.7000
drop10,63,3,0.5217
drop10,63,4,0.6522
drop10,64,1,0.6000
drop10,64,2,0.7000
drop10,64,3,0.7143
drop10,64,4,0.5652
drop10,65,1,0.7273
drop10,65,2,0.7000
drop10,65,3,0.5714
drop10,65,4,0.6522
drop10,66,1,0.5500
drop10,66,2,0.8261
drop10,66,3,0.9474
drop10,66,4,0.5517
drop10,67,1,0.6000
drop10,67,2,0.7000
drop10,67,3,0.5714
drop10,67,4,0.4516
drop10,68,1,0.7059
drop10,68,2,0.5500
drop10,68,3,0.4000
drop10,68,4,0.6957
drop10,69,1,0.8500
drop10,69,2,0.6500
drop10,69,3,0.9000
drop10,69,4,0.5517
drop10,70,1,0.6000
drop10,70,2,0.9524
drop10,70,3,0.8182
drop10,70,4,0.6957
drop10,71,1,0.8500
drop10,71,2,0.6500
drop10,71,3,1.0000
drop10,71,4,0.5806
drop10,72,1,0.6000
drop10,72,2,0.6500
drop10,72,3,0.8000
drop10,72,4,0.6957
drop10,73,1,0.6000
drop10,73,2,0.6500
drop10,73,3,0.9000
drop10,73,4,0.6522
drop10,74,1,0.6000
drop10,74,2,0.9000
drop10,74,3,0.7619
drop10,74,4,0.5517
drop10,75,1,0.6000
drop10,75,2,0.7000
drop10,75,3,0.8421
drop10,75,4,0.6522
drop10,76,1,0.6000
drop10,76,2,0.7000
drop10,76,3,0.7143
drop10,76,4,0.5517
drop10,77,1,0.6000
drop10,77,2,0.7500
drop10,77,3,0.4800
drop10,77,4,0.6522
drop10,78,1,0.6000
drop10,78,2,0.7000
drop10,78,3,0.9474
drop10,78,4,0.5517
drop10,79,1,0.6000
drop10,79,2,0.7000
drop10,79,3,0.6000
drop10,79,4,0.5517
drop10,80,1,0.7500
drop10,80,2,0.6667
drop10,80,3,0.9474
drop10,80,4,0.5161
drop10,81,1,0.5000
drop10,81,2,0.7000
drop10,81,3,1.0000
drop10,81,4,1.0000
drop10,82,1,0.6000
drop10,82,2,0.9500
drop10,82,3,0.6316
drop10,82,4,0.5517
drop10,83,1,0.6000
drop10,83,2,0.7000
drop10,83,3,0.5455
drop10,83,4,0.4242
drop10,84,1,0.8000
drop10,84,2,0.6667
drop10,84,3,0.8095
drop10,84,4,0.5517
drop10,85,1,0.6000
drop10,85,2,0.7000
drop10,85,3,1.0000
drop10,85,4,0.5769
drop10,86,1,0.6000
drop10,86,2,0.7000
drop10,86,3,0.7273
drop10,86,4,0.6897
drop10,87,1,0.6000
drop10,87,2,0.6667
drop10,87,3,0.8947
drop10,87,4,0.5517
drop10,88,1,0.5500
drop10,88,2,0.6000
drop10,88,3,0.6154
drop10,88,4,0.6250
drop10,89,1,0.9412
drop10,89,2,0.7000
drop10,89,3,0.9048
drop10,89,4,0.8261
drop10,90,1,0.6000
drop10,90,2,0.7000
drop10,90,3,0.6316
drop10,90,4,0.6667
drop10,91,1,0.5500
drop10,91,2,0.7000
drop10,91,3,0.7895
drop10,91,4,0.5806
drop10,92,1,0.5882
drop10,92,2,0.6500
drop10,92,3,0.9000
drop10,92,4,0.7308
drop10,93,1,0.6000
drop10,93,2,0.7500
drop10,93,3,0.4800
drop10,93,4,0.6087
drop10,94,1,0.4167
drop10,94,2,1.0000
drop10,94,3,1.0000
drop10,94,4,1.0000
drop10,95,1,0.8500
drop10,95,2,0.7000
drop10,95,3,0.5217
drop10,95,4,0.6522
drop10,96,1,0.6000
drop10,96,2,0.6500
drop10,96,3,0.9500
drop10,96,4,0.6154
drop10,97,1,0.6000
drop10,97,2,0.6667
drop10,97,3,0.8947
drop10,97,4,0.6522
drop10,98,1,0.6000
drop10,98,2,0.7000
drop10,98,3,0.6667
drop10,98,4,0.5517
drop10,99,1,0.3846
drop10,99,2,0.6500
drop10,99,3,0.7273
drop10,99,4,0.9583
drop10,100,1,0.6000
drop10,100,2,0.7000
drop10,100,3,0.5217
drop10,100,4,0.6522
drop10,101,1,0.4167
drop10,101,2,0.7500
drop10,101,3,0.8947
drop10,101,4,0.8519
drop10,102,1,0.6000
drop10,102,2,0.6500
drop10,102,3,0.7500
drop10,102,4,0.6522
drop10,103,1,0.6000
drop10,103,2,0.9524
drop10,103,3,0.8947
drop10,103,4,0.4828
drop10,104,1,0.4583
drop10,104,2,0.7000
drop10,104,3,0.9474
drop10,104,4,0.8846
drop10,105,1,0.6000
drop10,105,2,1.0000
drop10,105,3,1.0000
drop10,105,4,0.5517
drop10,106,1,0.6000
drop10,106,2,0.7000
drop10,106,3,0.5714
drop10,106,4,0.6522
drop10,107,1,0.6000
drop10,107,2,0.9524
drop10,107,3,0.7895
drop10,107,4,0.5517
drop10,108,1,0.6000
drop10,108,2,0.6000
drop10,108,3,0.9000
drop10,108,4,0.5517
drop10,109,1,0.6000
drop10,109,2,0.6667
drop10,109,3,0.8947
drop10,109,4,0.5517
drop10,110,1,0.6000
drop10,110,2,0.7000
drop10,110,3,0.5000
drop10,110,4,0.8261
drop10,111,1,0.8500
drop10,111,2,0.9524
drop10,111,3,0.7368
drop10,111,4,0.5517
drop10,112,1,0.5500
drop10,112,2,0.6667
drop10,112,3,0.9474
drop10,112,4,0.5000
drop10,113,1,0.8000
drop10,113,2,0.7000
drop10,113,3,0.5217
drop10,113,4,0.6522
drop10,114,1,0.6000
drop10,114,2,0.9524
drop10,114,3,0.9474
drop10,114,4,0.5806
drop10,115,1,0.6000
drop10,115,2,0.9524
drop10,115,3,0.8947
drop10,115,4,0.5517
drop10,116,1,0.6000
drop10,116,2,0.7000
drop10,116,3,0.8636
drop10,116,4,0.6667
drop10,117,1,0.6000
drop10,117,2,0.7000
drop10,117,3,0.5217
drop10,117,4,0.7826
drop10,118,1,0.5500
drop10,118,2,0.7000
drop10,118,3,0.7619
drop10,118,4,0.7200
drop10,119,1,0.6000
drop10,119,2,0.7000
drop10,119,3,0.9048
drop10,119,4,0.6667
drop10,120,1,0.6000
drop10,120,2,0.7000
drop10,120,3,1.0000
drop10,120,4,0.6667
drop10,121,1,0.6000
drop10,121,2,0.7000
drop10,121,3,0.9474
drop10,121,4,0.5556
drop10,122,1,0.6000
drop10,122,2,0.7083
drop10,122,3,0.4800
drop10,122,4,0.6522
drop10,123,1,0.6000
drop10,123,2,0.7500
drop10,123,3,0.8947
drop10,123,4,0.5926
drop10,124,1,0.6000
drop10,124,2,0.7000
drop10,124,3,1.0000
drop10,124,4,0.5517
drop10,125,1,0.8500
drop10,125,2,0.6667
drop10,125,3,0.8947
drop10,125,4,0.6667
drop10,126,1,0.6000
drop10,126,2,0.7391
drop10,126,3,1.0000
drop10,126,4,0.6667
drop10,127,1,0.7059
drop10,127,2,0.7000
drop10,127,3,0.7619
drop10,127,4,1.0000
drop10,128,1,0.6000
drop10,128,2,0.6667
drop10,128,3,0.7368
drop10,128,4,0.5517
drop10,129,1,0.6000
drop10,129,2,0.7000
drop10,129,3,0.8636
drop10,129,4,0.6400
drop10,130,1,0.6000
drop10,130,2,0.7000
drop10,130,3,0.4138
drop10,130,4,0.5517
drop10,131,1,0.8500
drop10,131,2,0.7000
drop10,131,3,0.8421
drop10,131,4,0.5517
drop10,132,1,0.6000
drop10,132,2,0.7200
drop10,132,3,0.7895
drop10,132,4,0.5769
drop10,133,1,0.8000
drop10,133,2,0.4062
drop10,133,3,0.3750
drop10,133,4,0.4444
drop10,134,1,0.6000
drop10,134,2,0.6667
drop10,134,3,0.8947
drop10,134,4,0.6667
drop10,135,1,0.5000
drop10,135,2,0.7000
drop10,135,3,1.0000
drop10,135,4,1.0000
drop10,136,1,0.6000
drop10,136,2,0.7000
drop10,136,3,0.5714
drop10,136,4,0.6522
drop10,137,1,0.6000
drop10,137,2,0.7000
drop10,137,3,1.0000
drop10,137,4,0.6087
drop10,138,1,0.8500
drop10,138,2,0.7000
drop10,138,3,0.7895
drop10,138,4,0.5517
drop10,139,1,0.8500
drop10,139,2,0.7000
drop10,139,3,0.5000
drop10,139,4,0.6522
drop10,140,1,0.5000
drop10,140,2,0.7000
drop10,140,3,1.0000
drop10,140,4,1.0000
drop10,141,1,0.6000
drop10,141,2,0.7000
drop10,141,3,0.4138
drop10,141,4,0.5517
drop10,142,1,0.6000
drop10,142,2,0.6667
drop10,142,3,0.7895
drop10,142,4,0.6522
drop10,143,1,0.6000
drop10,143,2,0.7000
drop10,143,3,0.6667
drop10,143,4,0.5172
drop10,144,1,0.6000
drop10,144,2,0.7000
drop10,144,3,0.5000
drop10,144,4,0.6522
drop10,145,1,1.0000
drop10,145,2,1.0000
drop10,145,3,1.0000
drop10,145,4,0.7500
drop10,146,1,0.6000
drop10,146,2,0.7000
drop10,146,3,0.5217
drop10,146,4,0.6522
drop10,147,1,0.6000
drop10,147,2,0.7000
drop10,147,3,0.6522
drop10,147,4,0.4828
drop10,148,1,0.7059
drop10,148,2,0.7083
drop10,148,3,0.8636
drop10,148,4,0.9583
drop10,149,1,0.5500
drop10,149,2,0.7000
drop10,149,3,0.7273
drop10,149,4,0.8261
drop10,150,1,0.6000
drop10,150,2,0.7000
drop10,150,3,0.5000
drop10,150,4,0.3939
drop10,151,1,0.6000
drop10,151,2,0.7000
drop10,151,3,0.5714
drop10,151,4,0.6522
drop10,152,1,0.6000
drop10,152,2,0.6667
drop10,152,3,0.7895
drop10,152,4,0.5517
drop10,153,1,0.6000
drop10,153,2,0.9500
drop10,153,3,0.7273
drop10,153,4,0.5517
drop10,154,1,0.4167
drop10,154,2,1.0000
drop10,154,3,1.0000
drop10,154,4,1.0000
drop10,155,1,0.6000
drop10,155,2,0.5714
drop10,155,3,0.9474
drop10,155,4,0.7692
drop10,156,1,0.8500
drop10,156,2,0.6500
drop10,156,3,0.9500
drop10,156,4,0.5517
drop10,157,1,0.6000
drop10,157,2,0.7000
drop10,157,3,0.5217
drop10,157,4,0.6522
drop10,158,1,0.5500
drop10,158,2,0.7000
drop10,158,3,0.5455
drop10,158,4,0.6207
drop10,159,1,0.6000
drop10,159,2,0.7000
drop10,159,3,0.7895
drop10,159,4,0.5556
drop10,160,1,0.6000
drop10,160,2,0.9000
drop10,160,3,1.0000
drop10,160,4,0.6154
drop10,161,1,0.6000
drop10,161,2,0.7000
drop10,161,3,0.5455
drop10,161,4,0.8261
drop10,162,1,0.6000
drop10,162,2,0.6667
drop10,162,3,0.9474
drop10,162,4,0.6250
drop10,163,1,0.6000
drop10,163,2,0.7000
drop10,163,3,0.9474
drop10,163,4,0.4688
drop10,164,1,0.8000
drop10,164,2,0.7000
drop10,164,3,0.7895
drop10,164,4,0.5333
drop10,165,1,0.7500
drop10,165,2,0.7000
drop10,165,3,0.8421
drop10,165,4,0.5517
drop10,166,1,0.6000
drop10,166,2,0.8500
drop10,166,3,0.5217
drop10,166,4,0.6087
drop10,167,1,0.6000
drop10,167,2,0.6667
drop10,167,3,0.9000
drop10,167,4,0.4828
drop10,168,1,0.8500
drop10,168,2,0.7000
drop10,168,3,0.7273
drop10,168,4,0.5806
drop10,169,1,0.6000
drop10,169,2,0.7000
drop10,169,3,0.8571
drop10,169,4,0.5517
drop10,170,1,0.6000
drop10,170,2,0.9000
drop10,170,3,0.4615
drop10,170,4,0.6522
drop10,171,1,0.6000
drop10,171,2,0.9500
drop10,171,3,0.6250
drop10,171,4,0.4375
drop10,172,1,0.4167
drop10,172,2,0.7000
drop10,172,3,0.9474
drop10,172,4,1.0000
drop10,173,1,0.4444
drop10,173,2,0.6667
drop10,173,3,0.7895
drop10,173,4,1.0000
drop10,174,1,0.6000
drop10,174,2,0.7000
drop10,174,3,0.6667
drop10,174,4,0.6897
drop10,175,1,0.6000
drop10,175,2,0.7000
drop10,175,3,1.0000
drop10,175,4,0.5333
drop10,176,1,0.6000
drop10,176,2,0.7000
drop10,176,3,1.0000
drop10,176,4,0.5517
drop10,177,1,0.6000
drop10,177,2,0.7000
drop10,177,3,0.9474
drop10,177,4,0.5517
drop10,178,1,0.8500
drop10,178,2,0.7500
drop10,178,3,0.5217
drop10,178,4,0.6522
drop10,179,1,0.6000
drop10,179,2,0.7000
drop10,179,3,0.4000
drop10,179,4,0.6522
drop10,180,1,0.6000
drop10,180,2,0.7200
drop10,180,3,0.8947
drop10,180,4,0.7037
drop10,181,1,0.6000
drop10,181,2,0.7000
drop10,181,3,0.7273
drop10,181,4,0.6667
drop10,182,1,0.6000
drop10,182,2,0.6500
drop10,182,3,0.8000
drop10,182,4,0.6667
drop10,183,1,0.6000
drop10,183,2,0.7000
drop10,183,3,0.5714
drop10,183,4,0.6522
drop10,184,1,0.4583
drop10,184,2,0.7000
drop10,184,3,0.9474
drop10,184,4,1.0000
drop10,185,1,0.3704
drop10,185,2,0.7000
drop10,185,3,0.7143
drop10,185,4,0.9565
drop10,186,1,0.8500
drop10,186,2,0.7000
drop10,186,3,0.6522
drop10,186,4,0.6087
drop10,187,1,0.8500
drop10,187,2,0.6667
drop10,187,3,0.8571
drop10,187,4,0.5517
drop10,188,1,0.7059
drop10,188,2,0.7000
drop10,188,3,1.0000
drop10,188,4,0.9583
drop10,189,1,0.4167
drop10,189,2,0.7000
drop10,189,3,0.9474
drop10,189,4,1.0000
drop10,190,1,0.6000
drop10,190,2,0.9000
drop10,190,3,0.4444
drop10,190,4,0.7391
drop10,191,1,0.6000
drop10,191,2,0.8696
drop10,191,3,0.6522
drop10,191,4,0.4828
drop10,192,1,0.6000
drop10,192,2,0.6667
drop10,192,3,0.7143
drop10,192,4,0.5556
drop10,193,1,0.3704
drop10,193,2,0.7000
drop10,193,3,0.7143
drop10,193,4,1.0000
drop10,194,1,0.8500
drop10,194,2,0.7000
drop10,194,3,1.0000
drop10,194,4,0.5556
drop10,195,1,0.6000
drop10,195,2,0.7000
drop10,195,3,0.7143
drop10,195,4,0.4828
drop10,196,1,0.6000
drop10,196,2,0.7000
drop10,196,3,0.6818
drop10,196,4,0.6087
drop10,197,1,0.3704
drop10,197,2,0.7000
drop10,197,3,0.7895
drop10,197,4,0.9565
drop10,198,1,0.6000
drop10,198,2,0.7000
drop10,198,3,0.8421
drop10,198,4,0.6522
drop10,199,1,0.6000
drop10,199,2,0.7000
drop10,199,3,0.5714
drop10,199,4,0.6087
drop20,0,1,0.7500
drop20,0,2,0.6667
drop20,0,3,0.9474
drop20,0,4,0.6667
drop20,1,1,0.5500
drop20,1,2,0.6667
drop20,1,3,0.8571
drop20,1,4,0.5278
drop20,2,1,0.6000
drop20,2,2,0.6500
drop20,2,3,0.4000
drop20,2,4,0.5517
drop20,3,1,0.5000
drop20,3,2,0.6000
drop20,3,3,0.4000
drop20,3,4,0.7600
drop20,4,1,0.6471
drop20,4,2,1.0000
drop20,4,3,0.7273
drop20,4,4,0.9565
drop20,5,1,0.6000
drop20,5,2,0.6500
drop20,5,3,0.7273
drop20,5,4,0.6667
drop20,6,1,0.8000
drop20,6,2,0.7000
drop20,6,3,0.7895
drop20,6,4,0.5517
drop20,7,1,0.5500
drop20,7,2,0.6500
drop20,7,3,0.8571
drop20,7,4,0.6667
drop20,8,1,0.4167
drop20,8,2,0.7000
drop20,8,3,1.0000
drop20,8,4,0.9565
drop20,9,1,0.6000
drop20,9,2,0.8696
drop20,9,3,0.5217
drop20,9,4,0.6522
drop20,10,1,0.6000
drop20,10,2,0.6667
drop20,10,3,0.8182
drop20,10,4,0.5217
drop20,11,1,0.7059
drop20,11,2,0.7000
drop20,11,3,0.8636
drop20,11,4,0.9583
drop20,12,1,0.7500
drop20,12,2,0.9524
drop20,12,3,0.7368
drop20,12,4,0.4483
drop20,13,1,1.0000
drop20,13,2,0.8261
drop20,13,3,1.0000
drop20,13,4,0.8261
drop20,14,1,0.5500
drop20,14,2,0.6500
drop20,14,3,0.5217
drop20,14,4,0.6522
drop20,15,1,0.7500
drop20,15,2,0.6667
drop20,15,3,0.7368
drop20,15,4,0.5172
drop20,16,1,0.6000
drop20,16,2,0.8500
drop20,16,3,0.7619
drop20,16,4,0.5172
drop20,17,1,0.5500
drop20,17,2,0.9524
drop20,17,3,0.8947
drop20,17,4,0.6522
drop20,18,1,0.6000
drop20,18,2,0.6500
drop20,18,3,0.8000
drop20,18,4,0.6667
drop20,19,1,0.8824
drop20,19,2,0.7000
drop20,19,3,0.8421
drop20,19,4,0.9583
drop20,20,1,0.5500
drop20,20,2,0.8261
drop20,20,3,0.6316
drop20,20,4,0.6957
drop20,21,1,0.7059
drop20,21,2,0.6667
drop20,21,3,0.6667
drop20,21,4,1.0000
drop20,22,1,0.6000
drop20,22,2,0.7000
drop20,22,3,0.7273
drop20,22,4,0.5652
drop20,23,1,0.7059
drop20,23,2,0.7000
drop20,23,3,0.8421
drop20,23,4,0.9583
drop20,24,1,0.5500
drop20,24,2,0.6667
drop20,24,3,0.9474
drop20,24,4,0.5333
drop20,25,1,0.5000
drop20,25,2,0.7500
drop20,25,3,0.8636
drop20,25,4,1.0000
drop20,26,1,0.6000
drop20,26,2,0.4231
drop20,26,3,0.3704
drop20,26,4,0.6522
drop20,27,1,0.5000
drop20,27,2,0.6667
drop20,27,3,0.9474
drop20,27,4,0.4828
drop20,28,1,0.6000
drop20,28,2,0.7500
drop20,28,3,0.4800
drop20,28,4,0.6522
drop20,29,1,0.6000
drop20,29,2,0.7500
drop20,29,3,0.9048
drop20,29,4,0.5172
drop20,30,1,0.8500
drop20,30,2,0.6667
drop20,30,3,0.8947
drop20,30,4,0.5517
drop20,31,1,0.6000
drop20,31,2,0.9500
drop20,31,3,0.4800
drop20,31,4,0.6522
drop20,32,1,0.5000
drop20,32,2,0.7000
drop20,32,3,1.0000
drop20,32,4,1.0000
drop20,33,1,0.6000
drop20,33,2,0.6667
drop20,33,3,0.7368
drop20,33,4,0.5517
drop20,34,1,0.5500
drop20,34,2,0.7000
drop20,34,3,0.9048
drop20,34,4,0.5517
drop20,35,1,0.6000
drop20,35,2,0.7826
drop20,35,3,0.8947
drop20,35,4,0.5556
drop20,36,1,0.6000
drop20,36,2,0.6667
drop20,36,3,0.3793
drop20,36,4,0.5517
drop20,37,1,0.6000
drop20,37,2,0.6500
drop20,37,3,0.5769
drop20,37,4,0.5517
drop20,38,1,0.6000
drop20,38,2,0.7000
drop20,38,3,0.6818
drop20,38,4,0.4062
drop20,39,1,0.6000
drop20,39,2,0.7000
drop20,39,3,0.5217
drop20,39,4,0.6522
drop20,40,1,0.4074
drop20,40,2,0.7083
drop20,40,3,0.7895
drop20,40,4,1.0000
drop20,41,1,0.6000
drop20,41,2,0.8333
drop20,41,3,0.8636
drop20,41,4,0.5517
drop20,42,1,0.8500
drop20,42,2,0.7000
drop20,42,3,0.5217
drop20,42,4,0.6087
drop20,43,1,0.8500
drop20,43,2,0.7000
drop20,43,3,0.7143
drop20,43,4,0.4483
drop20,44,1,0.8500
drop20,44,2,0.7000
drop20,44,3,0.9474
drop20,44,4,0.5517
drop20,45,1,0.8000
drop20,45,2,0.6667
drop20,45,3,0.8182
drop20,45,4,0.5806
drop20,46,1,0.5500
drop20,46,2,0.7000
drop20,46,3,0.5217
drop20,46,4,0.6522
drop20,47,1,0.6000
drop20,47,2,0.9000
drop20,47,3,0.8636
drop20,47,4,0.5333
drop20,48,1,0.8500
drop20,48,2,0.8333
drop20,48,3,0.5000
drop20,48,4,0.5185
drop20,49,1,0.6000
drop20,49,2,0.6500
drop20,49,3,1.0000
drop20,49,4,0.5833
drop20,50,1,0.6000
drop20,50,2,0.8696
drop20,50,3,0.9474
drop20,50,4,0.5333
drop20,51,1,0.8500
drop20,51,2,0.7000
drop20,51,3,1.0000
drop20,51,4,0.5333
drop20,52,1,0.5000
drop20,52,2,0.6667
drop20,52,3,0.8947
drop20,52,4,0.6667
drop20,53,1,0.7500
drop20,53,2,0.9000
drop20,53,3,0.4800
drop20,53,4,0.6522
drop20,54,1,0.6000
drop20,54,2,0.7000
drop20,54,3,0.5217
drop20,54,4,0.6087
drop20,55,1,0.6000
drop20,55,2,0.6667
drop20,55,3,0.8571
drop20,55,4,0.5833
drop20,56,1,0.6000
drop20,56,2,0.4000
drop20,56,3,0.3871
drop20,56,4,0.4375
drop20,57,1,0.6000
drop20,57,2,0.7000
drop20,57,3,0.5000
drop20,57,4,0.4375
drop20,58,1,0.6000
drop20,58,2,0.7000
drop20,58,3,0.4800
drop20,58,4,0.7826
drop20,59,1,0.7500
drop20,59,2,0.6500
drop20,59,3,0.5217
drop20,59,4,0.6522
drop20,60,1,0.6000
drop20,60,2,0.7500
drop20,60,3,0.4800
drop20,60,4,0.6522
drop20,61,1,0.8500
drop20,61,2,0.8333
drop20,61,3,0.9474
drop20,61,4,0.5333
drop20,62,1,0.6000
drop20,62,2,0.7000
drop20,62,3,0.6818
drop20,62,4,0.7200
drop20,63,1,0.6000
drop20,63,2,0.8500
drop20,63,3,0.5000
drop20,63,4,0.4375
drop20,64,1,0.6000
drop20,64,2,0.7000
drop20,64,3,0.7143
drop20,64,4,0.4483
drop20,65,1,0.8500
drop20,65,2,0.7000
drop20,65,3,0.5714
drop20,65,4,0.6087
drop20,66,1,0.6000
drop20,66,2,0.8333
drop20,66,3,0.8947
drop20,66,4,0.6250
drop20,67,1,0.6000
drop20,67,2,0.7000
drop20,67,3,0.5714
