src,dst,sign,weight,share,tier,scope,citation,doi_or_url,fetched,evidence
S30,X14,+,2,,2,global,"Kim 2025, Automated human-centric construction dust alert system field test",10.1093/jcde/qwaf101,yes,"Over 153 days at a Korean site 55 events above 35.5 ug/m3 PM2.5 were logged at four nodes, 8 of 24 workers were exposed, peak 842 ug/m3 during floor sweeping."
A14,X14,-,1,,2,global,"Kim 2025, Automated human-centric construction dust alert system field test",10.1093/jcde/qwaf101,yes,"Sensor nodes triggered SMS alerts to workers within 20 m when PM2.5 reached 35.5 ug/m3, alerts fired during site preparation, earthwork and indoor work."
D25,X18,+,3,,1,global,"Zhou 2007, Factors influencing the spatial extent of mobile source air pollution impacts meta-analysis",10.1186/1471-2458-7-89,yes,"The spatial extent of mobile source impact is 100 to 400 m for EC or PM mass, 200 to 500 m for NO2 and 100 to 300 m for ultrafine particle counts, generally within a few hundred metres of highway or city roads."
A25,X18,-,3,,1,global,"Zhou 2007, Factors influencing the spatial extent of mobile source air pollution impacts meta-analysis",10.1186/1471-2458-7-89,yes,"Policymakers can develop reasonable estimates of the zone of influence of mobile sources, on the order of 100 to 500 m depending on pollutant, which is the distance a setback rule has to clear."
S18,X18,+,3,,1,global,"Zhou 2007, Factors influencing the spatial extent of mobile source air pollution impacts meta-analysis",10.1186/1471-2458-7-89,yes,"Near-road gradients excluding background extend 100 to 400 m for PM mass and 200 to 500 m for NO2, inert pollutants with high background show no gradient."
A25,S18,-,2,,1,global,"Abhijith 2017, Air pollution abatement performances of green infrastructure in open road and street canyon environments review",10.1016/J.ATMOSENV.2017.05.014,yes,"For open road conditions wide, low porosity and tall vegetation barriers lead to downwind pollutant reductions, while gaps and high porosity vegetation give no improvement or worse air quality, in street canyons hedges improve and tree canopies worsen air quality."
A16,X18,-,2,,1,global,"Abhijith 2017, Air pollution abatement performances of green infrastructure in open road and street canyon environments review",10.1016/J.ATMOSENV.2017.05.014,yes,"Studies of personal exposure to local sources under vegetation in open road settings show downwind reductions behind wide, dense, tall barriers, and green walls and roofs are also effective abatement measures."
D24,P31,+,3,,2,global,"Nahar 2020, Exposure assessment of emissions from mobile food carts on New York City streets",10.1016/j.envpol.2020.115435,yes,"Around 19 food carts, mean PM2.5 near charcoal carts was 196 ug/m3, BC 5.49 ug/m3 and 69000 particles/cm3, with peaks of 1520 ug/m3 PM2.5, emission impact ordered charcoal above propane plus charcoal above propane."
P31,S29,+,3,,2,global,"Nahar 2020, Exposure assessment of emissions from mobile food carts on New York City streets",10.1016/j.envpol.2020.115435,yes,"Concentrations measured in the micro-environment around carts were highest near charcoal carts, 196 ug/m3 PM2.5 mean and 1520 ug/m3 peak."
A23,P31,-,3,,2,global,"Nahar 2020, Exposure assessment of emissions from mobile food carts on New York City streets",10.1016/j.envpol.2020.115435,yes,"Pollution emission impact ranked charcoal above propane plus charcoal above propane carts, so the fuel used determines the emission and the authors ask policy to regulate by fuel."
S29,X03,+,1,,2,global,"Nahar 2020, Exposure assessment of emissions from mobile food carts on New York City streets",10.1016/j.envpol.2020.115435,yes,"The study measured the air pollution the public is exposed to in the micro-environment around food carts on city streets."
X16,E18,+,2,,2,global,"Abdul Wahid 2014, Respiratory symptoms of vendors in an open-air hawker centre in Brunei",10.3389/fpubh.2014.00167,yes,"50.7 percent of 67 cooking vendors reported respiratory symptoms against 33.3 percent of 18 non-cooking vendors, charcoal users about twice as likely to report cough as LPG users, more than 10 years of tenure about three times the cough odds."
A23,X16,-,2,,2,global,"Abdul Wahid 2014, Respiratory symptoms of vendors in an open-air hawker centre in Brunei",10.3389/fpubh.2014.00167,yes,"Vendors cooking with charcoal were about two times more likely to have cough than those cooking with LPG."
A23,S29,-,2,,2,global,"Kong 2021, Particulate matter concentrations according to cooking activity in a residential environment",10.1007/s11356-020-10670-x,yes,"Roasting mackerel with no ventilation reached 1228 ug/m3 PM10 and 761 ug/m3 PM2.5, natural ventilation combined with ventilation devices was the most effective reduction method (residential evidence, mechanism transfer to stalls)."
S01,D23,+,2,,2,global,"Chu 2021, Air pollution as a determinant of food delivery and related plastic waste",10.1038/s41562-020-00961-1,yes,"Among office workers in three Chinese cities a 100 ug/m3 rise in PM2.5 raised the propensity to order food delivery by two fifths of the sample mean, platform data confirmed a smaller causal link."
S28,X15,+,2,,2,global,"Li 2025, Carbon monoxide exposure in food delivery workers using exhaled air",10.1007/s44197-025-00468-w,yes,"156 food delivery workers had mean exhaled CO of 4.79 ppm against 1.51 ppm in 49 referents, and among non-smokers 1.57 versus 1.13 ppm (p=0.002), indicating higher traffic CO exposure."
S28,X15,+,2,,2,global,"Lawin 2016, Occupational air pollution exposure and respiratory health in motorcycle taxi driving",10.1016/j.scitotenv.2016.01.068,yes,"85 motorcycle taxi drivers in Cotonou carried CO loggers 8 h per day and had higher mean CO than matched controls, 7.6 versus 5.4 ppm (p=0.001)."
X15,E18,+,1,,2,global,"Lawin 2018, Motorcycle taxi drivers' respiratory health against the CO ambient standard, Benin",10.11604/pamj.2018.30.113.14975,yes,"Drivers with 8 h CO above 9 ppm had a significantly lower PEF (minus 10 percent, p=0.02) and non-significantly more symptoms (OR 1.67, 95 percent CI 0.26 to 10.74) than less exposed drivers."
X12,X15,+,2,,2,global,"Agudelo-Londono 2024, Environmental injustice in air quality for digital platform delivery workers in Bogota",10.7705/biomedica.7162,yes,"PM10 and PM2.5 on 56 delivery routes were higher in the lower income locality Kennedy than in Usaquen, linking route geography and road infrastructure to rider exposure."
D16,E18,+,3,,2,gulf,"Alahmad 2023, Extreme heat and work injuries in Kuwait's hot summers",10.1136/oemed-2022-108697,yes,"During the summer midday ban a 39.4 C day raised the relative risk of occupational injury to 1.44 (1.34 to 1.53) versus 37.0 C, and 40 C gave 1.48, despite the calendar based ban."
A22,X14,-,1,,2,gulf,"Alahmad 2023, Extreme heat and work injuries in Kuwait's hot summers",10.1136/oemed-2022-108697,yes,"Calendar based midday work bans may be inadequate for occupational heat protection, especially for migrant workers, injury risk stayed elevated on hot days within the ban period."
D23,X15,+,1,,2,global,"Li 2025, Carbon monoxide exposure in food delivery workers using exhaled air",10.1007/s44197-025-00468-w,yes,"The number of food delivery workers in online food delivery services has soared recently and they are exposed to air pollutants from traffic exhaust frequently."
A22,X15,-,2,,4,uae,"Gulf News 2026, UAE summer work ban and 12000 rest stations for delivery riders",https://gulfnews.com/uae/transport/midday-break-in-uae-delivery-riders-get-relief-under-safety-rules-1.500595610,yes,"Over 12000 air-conditioned rest areas operate from June 15 to September 15 and riders may choose not to work in the 12:30 to 15:00 restricted period, coordinated with the employer, fourth consecutive year."
S16,X14,+,2,,2,gulf,"Moohialdin 2022, Physiological impacts on construction workers under extremely hot and humid weather",10.1007/s00420-021-01785-w,yes,"Extremely hot and humid weather on Arabian Gulf construction sites pushed worker heart rate beyond acceptable physiological zones, humidity is named jointly with heat as the exposure."
# STATUS: complete, 59 edges, 35 sources
