trial,block,n,jaccard,rank
36,3,19,0.7000,7
36,4,23,0.3514,4
37,1,17,0.8333,1
37,2,20,0.5909,4
37,3,19,0.3667,2
37,4,23,0.5429,3
38,1,17,0.3333,4
38,2,20,0.3333,2
38,3,19,0.3429,2
38,4,23,0.4483,5
39,1,17,0.3846,5
39,2,20,0.7000,1
39,3,19,0.5217,6
39,4,23,0.5625,3
40,1,17,0.4545,7
40,2,20,0.8500,2
40,3,19,0.8571,5
40,4,23,0.6538,8
41,1,17,0.2941,1
41,2,20,0.8000,2
41,3,19,0.7619,6
41,4,23,0.5556,5
42,1,17,0.5714,1
42,2,20,0.7000,3
42,3,19,0.5000,5
42,4,23,0.4815,6
43,1,17,0.6364,2
43,2,20,0.9500,4
43,3,19,0.7143,5
43,4,23,0.4062,3
44,1,17,0.5238,2
44,2,20,0.8500,3
44,3,19,0.5500,7
44,4,23,0.4412,5
45,1,17,0.2917,5
45,2,20,0.6667,1
45,3,19,0.5217,4
45,4,23,0.7500,6
46,1,17,0.4545,1
46,2,20,0.6000,4
46,3,19,0.4400,4
46,4,23,0.5862,5
47,1,17,0.4348,4
47,2,20,0.6500,1
47,3,19,0.3462,5
47,4,23,0.5000,3
48,1,17,0.5000,3
48,2,20,0.7000,2
48,3,19,0.5000,6
48,4,23,0.7600,7
49,1,17,0.3125,2
49,2,20,0.7826,3
49,3,19,0.5652,4
49,4,23,0.3030,4
50,1,17,0.4286,2
50,2,20,0.8261,1
50,3,19,0.5000,4
50,4,23,0.5172,4
51,1,17,0.3000,2
51,2,20,0.6500,6
51,3,19,0.4231,4
51,4,23,0.5417,5
52,1,17,0.4583,2
52,2,20,0.5714,3
52,3,19,0.5833,3
52,4,23,0.4375,4
53,1,17,0.3448,1
53,2,20,0.5000,3
53,3,19,0.5714,2
53,4,23,0.6000,5
54,1,17,0.5238,1
54,2,20,0.9524,2
54,3,19,0.5217,4
54,4,23,0.7083,5
55,1,17,0.5714,2
55,2,20,0.8000,3
55,3,19,0.3333,4
55,4,23,0.2500,7
56,1,17,0.6316,1
56,2,20,0.8000,2
56,3,19,0.6000,6
56,4,23,0.5769,7
57,1,17,0.5000,2
57,2,20,0.6923,3
57,3,19,0.3333,4
57,4,23,0.2632,4
58,1,17,0.6190,1
58,2,20,0.5238,5
58,3,19,0.7826,3
58,4,23,0.5926,4
59,1,17,0.5238,2
59,2,20,0.3750,3
59,3,19,0.3871,3
59,4,23,0.5172,2
60,1,17,0.4286,2
60,2,20,0.6667,3
60,3,19,0.4444,4
60,4,23,0.5333,5
61,1,17,0.6957,1
61,2,20,0.2973,2
61,3,19,0.3824,2
61,4,23,0.4194,3
62,1,17,0.6818,1
62,2,20,0.5000,3
62,3,19,0.5333,2
62,4,23,0.6000,4
63,1,17,0.4667,1
63,2,20,0.6957,2
63,3,19,0.4000,4
63,4,23,0.3793,1
64,1,17,0.4583,2
64,2,20,0.8000,5
64,3,19,0.4615,6
64,4,23,0.4828,4
65,1,17,0.5455,2
65,2,20,0.8182,3
65,3,19,0.6000,5
65,4,23,0.6400,6
66,1,17,0.7143,1
66,2,20,0.6667,5
66,3,19,0.7143,4
66,4,23,0.5135,2
67,1,17,0.5238,1
67,2,20,0.8500,2
67,3,19,0.5789,6
67,4,23,0.4828,5
68,1,17,0.8000,2
68,2,20,0.7500,4
68,3,19,0.5556,5
68,4,23,0.5833,6
69,1,17,0.7222,1
69,2,20,0.5000,2
69,3,19,0.2927,2
69,4,23,0.5000,4
70,1,17,0.5000,2
70,2,20,0.8000,3
70,3,19,0.7143,6
70,4,23,0.4688,5
71,1,17,0.7368,1
71,2,20,0.7500,2
71,3,19,0.8947,4
71,4,23,0.8462,3
72,1,17,0.4167,4
72,2,20,0.8000,1
72,3,19,0.5714,5
72,4,23,0.8400,6
73,1,17,0.6667,1
73,2,20,0.9000,3
73,3,19,0.7500,4
73,4,23,0.5600,5
74,1,17,0.6957,1
74,2,20,0.7500,2
74,3,19,0.7727,3
74,4,23,0.4444,1
75,1,17,0.3043,4
75,2,20,0.6000,1
75,3,19,0.3871,3
75,4,23,0.5769,6
76,1,17,0.6400,1
76,2,20,0.4000,2
76,3,19,0.3529,2
76,4,23,0.6667,4
77,1,17,0.5714,2
77,2,20,0.8500,3
77,3,19,0.8000,5
77,4,23,0.5517,4
78,1,17,0.4444,2
78,2,20,0.8500,3
78,3,19,0.6190,5
78,4,23,0.6552,4
79,1,17,0.4583,3
79,2,20,0.4000,2
79,3,19,0.5000,2
79,4,23,0.4828,5
80,1,17,0.4286,2
80,2,20,0.6190,4
80,3,19,0.4138,3
80,4,23,0.6333,5
81,1,17,0.3462,4
81,2,20,0.3243,1
81,3,19,0.3714,1
81,4,23,0.4688,3
82,1,17,0.6667,2
82,2,20,0.6000,6
82,3,19,0.4800,6
82,4,23,0.5556,5
83,1,17,0.8824,1
83,2,20,0.7619,2
83,3,19,0.4800,6
83,4,23,0.8333,5
84,1,17,0.5833,2
84,2,20,0.6500,3
84,3,19,0.4138,4
84,4,23,0.6667,6
85,1,17,0.9444,1
85,2,20,0.4167,2
85,3,19,0.5217,3
85,4,23,0.7692,5
86,1,17,0.5714,1
86,2,20,0.8095,2
86,3,19,0.5000,3
86,4,23,0.3548,1
87,1,17,0.5000,1
87,2,20,0.6000,4
87,3,19,0.8095,3
87,4,23,0.5385,5
88,1,17,0.4000,6
88,2,20,0.7000,3
88,3,19,0.8947,4
88,4,23,0.9565,7
89,1,17,0.5769,1
89,2,20,0.5000,4
89,3,19,0.3333,3
89,4,23,0.6087,5
90,1,17,0.8889,1
90,2,20,0.4857,2
90,3,19,0.3077,2
90,4,23,0.7037,3
91,1,17,0.5500,2
91,2,20,0.8500,3
91,3,19,0.8500,5
91,4,23,0.3704,6
92,1,17,0.4545,2
92,2,20,0.5714,5
92,3,19,0.7000,4
92,4,23,0.6207,3
93,1,17,0.4091,2
93,2,20,0.7000,3
93,3,19,0.4138,1
93,4,23,0.4828,4
94,1,17,0.2941,1
94,2,20,0.7143,4
94,3,19,0.5789,5
94,4,23,0.6522,7
95,1,17,0.4000,4
95,2,20,0.5909,1
95,3,19,0.3846,6
95,4,23,0.5000,6
96,1,17,0.7619,1
96,2,20,0.5758,2
96,3,19,0.3077,2
96,4,23,0.6800,4
97,1,17,0.5000,4
97,2,20,0.9500,3
97,3,19,0.7500,7
97,4,23,0.7308,6
98,1,17,0.4762,3
98,2,20,0.9500,2
98,3,19,0.6087,5
98,4,23,0.3548,4
99,1,17,0.3846,2
99,2,20,0.6364,3
99,3,19,0.7619,5
99,4,23,0.4000,4
100,1,17,0.2941,1
100,2,20,0.5714,2
100,3,19,0.7500,7
100,4,23,0.5714,4
101,1,17,0.5000,1
101,2,20,0.9000,2
101,3,19,0.5000,4
101,4,23,0.4231,7
102,1,17,0.3226,4
102,2,20,0.9500,1
102,3,19,0.5200,3
102,4,23,0.4483,5
103,1,17,0.4000,6
103,2,20,0.7273,3
103,3,19,0.4333,5
103,4,23,0.6207,4
104,1,17,0.6500,1
104,2,20,0.4783,4
104,3,19,0.4615,2
104,4,23,0.5806,5
105,1,17,0.6111,4
105,2,20,0.5238,2
105,3,19,0.6522,5
105,4,23,0.4839,3
106,1,17,0.5500,2
106,2,20,0.4118,1
106,3,19,0.3429,1
106,4,23,0.6071,5
107,1,17,0.4545,2
107,2,20,0.7826,3
107,3,19,0.6500,5
107,4,23,0.6429,4
108,1,17,0.3478,4
108,2,20,0.6957,2
108,3,19,0.4643,3
108,4,23,0.5833,5
109,1,17,0.3182,2
109,2,20,0.6522,3
109,3,19,0.4074,6
109,4,23,0.6667,2
110,1,17,0.5000,3
110,2,20,0.5000,4
110,3,19,0.3871,2
110,4,23,0.4074,2
111,1,17,0.8889,1
111,2,20,0.4000,2
111,3,19,0.5000,2
111,4,23,0.7692,4
112,1,17,0.6957,1
112,2,20,0.4500,4
112,3,19,0.3226,2
112,4,23,0.3333,2
113,1,17,0.7727,1
113,2,20,0.3611,2
113,3,19,0.4118,2
113,4,23,0.4194,4
114,1,17,0.3600,2
114,2,20,0.5238,3
114,3,19,0.3750,3
114,4,23,0.3929,5
115,1,17,0.6000,1
115,2,20,0.3500,2
115,3,19,0.4000,2
115,4,23,0.5185,5
116,1,17,0.5000,2
116,2,20,0.8000,3
116,3,19,0.5217,4
116,4,23,0.5385,5
117,1,17,0.4211,4
117,2,20,0.8095,3
117,3,19,0.4583,5
117,4,23,0.7000,6
118,1,17,0.4783,2
118,2,20,0.9000,3
118,3,19,0.7619,4
118,4,23,0.7200,5
119,1,17,0.7647,1
119,2,20,0.6957,2
119,3,19,0.5714,6
119,4,23,0.5000,7
120,1,17,0.6000,2
120,2,20,0.4000,1
120,3,19,0.3333,1
120,4,23,0.5600,6
121,1,17,0.8889,3
121,2,20,0.5909,5
121,3,19,0.5000,6
121,4,23,0.5714,4
122,1,17,0.5714,1
122,2,20,0.8182,2
122,3,19,0.3226,3
122,4,23,0.2500,3
123,1,17,0.4762,3
123,2,20,0.5429,2
123,3,19,0.3947,2
123,4,23,0.4828,5
124,1,17,0.5238,2
124,2,20,0.8571,3
124,3,19,0.5217,6
124,4,23,0.5667,4
125,1,17,0.5000,2
125,2,20,0.5000,3
125,3,19,0.3158,3
125,4,23,0.5769,5
126,1,17,0.3810,2
126,2,20,0.9500,1
126,3,19,0.4444,3
126,4,23,0.5357,3
127,1,17,0.4091,2
127,2,20,0.5500,4
127,3,19,0.5909,6
127,4,23,0.4828,5
128,1,17,0.8000,1
128,2,20,0.8571,2
128,3,19,0.6316,4
128,4,23,0.5185,5
129,1,17,0.6818,1
129,2,20,0.6500,2
129,3,19,0.4800,3
129,4,23,0.7600,6
130,1,17,0.5455,1
130,2,20,0.9048,2
130,3,19,0.4783,6
130,4,23,0.5294,4
131,1,17,0.4167,4
131,2,20,0.3333,5
131,3,19,0.4074,3
131,4,23,0.7917,6
132,1,17,0.5217,2
132,2,20,0.8571,4
132,3,19,0.5200,5
132,4,23,0.5000,6
133,1,17,0.6000,2
133,2,20,0.8000,3
133,3,19,0.7368,5
133,4,23,0.5517,4
134,1,17,0.4706,4
134,2,20,0.6000,2
134,3,19,0.3793,2
134,4,23,0.5926,5
135,1,17,0.4091,3
135,2,20,0.8182,2
135,3,19,0.5600,4
135,4,23,0.6296,5
136,1,17,0.3636,3
136,2,20,0.8500,2
136,3,19,0.4615,4
136,4,23,0.4839,5
137,1,17,0.5238,2
137,2,20,0.7826,3
137,3,19,0.6842,5
137,4,23,0.5714,6
138,1,17,0.3846,3
138,2,20,0.7000,2
138,3,19,0.6316,6
138,4,23,0.8077,4
139,1,17,0.3214,1
139,2,20,0.8095,2
139,3,19,0.4583,4
139,4,23,0.7083,5
140,1,17,0.7368,1
140,2,20,0.7500,2
140,3,19,0.4400,4
140,4,23,0.4483,3
141,1,17,0.8947,1
141,2,20,0.8182,3
141,3,19,0.5600,4
141,4,23,0.5172,6
142,1,17,0.4000,2
142,2,20,0.5000,4
142,3,19,0.7391,3
142,4,23,0.5357,2
143,1,17,0.6818,2
143,2,20,0.4800,4
143,3,19,0.3333,5
143,4,23,0.3030,5
144,1,17,0.6364,1
144,2,20,0.8182,2
144,3,19,0.4000,6
144,4,23,0.3889,5
145,1,17,0.5000,1
145,2,20,0.6667,2
145,3,19,0.5909,5
145,4,23,0.4839,3
146,1,17,0.6842,1
146,2,20,0.8636,2
146,3,19,0.3704,4
146,4,23,0.5714,5
147,1,17,0.6364,2
147,2,20,0.8500,3
147,3,19,0.6667,6
147,4,23,0.4688,5
148,1,17,0.4286,3
148,2,20,0.7391,4
148,3,19,0.9474,5
148,4,23,0.5556,7
149,1,17,0.4286,2
149,2,20,0.5000,1
149,3,19,0.3750,1
149,4,23,0.6800,6
150,1,17,0.5714,1
150,2,20,0.5500,5
150,3,19,0.4800,4
150,4,23,0.5357,2
151,1,17,0.3600,3
151,2,20,0.9048,4
151,3,19,0.5217,5
151,4,23,0.5652,3
152,1,17,0.5455,3
152,2,20,0.6190,2
152,3,19,0.5652,4
152,4,23,0.5217,1
153,1,17,0.3913,2
153,2,20,0.6500,4
153,3,19,0.5714,5
153,4,23,0.6923,6
154,1,17,0.5882,4
154,2,20,1.0000,3
154,3,19,0.7619,5
154,4,23,0.7500,6
155,1,17,0.4762,1
155,2,20,0.8500,2
155,3,19,0.4138,4
155,4,23,0.4483,4
156,1,17,0.5909,1
156,2,20,0.3913,4
156,3,19,0.7826,2
156,4,23,0.6667,3
157,1,17,0.9412,1
157,2,20,0.7500,4
157,3,19,0.7143,5
157,4,23,0.7778,6
158,1,17,0.3846,3
158,2,20,0.5500,1
158,3,19,0.4000,1
158,4,23,0.5926,4
159,1,17,0.4400,1
159,2,20,0.9000,2
159,3,19,0.8947,3
159,4,23,0.5000,4
160,1,17,0.7391,1
160,2,20,0.7000,2
160,3,19,0.5455,4
160,4,23,0.6000,3
161,1,17,0.7368,1
161,2,20,0.7200,2
161,3,19,0.5217,3
161,4,23,0.6250,4
162,1,17,0.7619,2
162,2,20,0.6500,3
162,3,19,0.6000,4
162,4,23,0.5000,5
163,1,17,0.7143,1
163,2,20,0.5238,2
163,3,19,0.3667,2
163,4,23,0.4375,3
164,1,17,0.4400,2
164,2,20,0.9048,3
164,3,19,0.5217,6
164,4,23,0.5833,4
165,1,17,0.5263,5
165,2,20,0.6000,1
165,3,19,0.4800,4
165,4,23,0.5294,3
166,1,17,0.6471,1
166,2,20,0.6190,4
166,3,19,0.3548,3
166,4,23,0.7857,5
167,1,17,0.7619,1
167,2,20,0.8500,3
167,3,19,0.5714,4
167,4,23,0.5417,5
168,1,17,0.4545,2
168,2,20,0.5500,4
168,3,19,0.4444,3
168,4,23,0.5161,2
169,1,17,0.7619,1
169,2,20,0.7917,2
169,3,19,0.7727,3
169,4,23,0.6400,4
170,1,17,0.5238,2
170,2,20,0.4000,3
170,3,19,0.3636,3
170,4,23,0.5000,4
171,1,17,0.5000,2
171,2,20,1.0000,3
171,3,19,0.7895,6
171,4,23,0.5517,5
172,1,17,0.4286,1
172,2,20,0.6250,4
172,3,19,0.5417,5
172,4,23,0.6538,6
173,1,17,0.4167,3
173,2,20,0.5500,6
173,3,19,0.5000,5
173,4,23,0.4848,4
174,1,17,0.5238,1
174,2,20,0.5500,6
174,3,19,0.5000,4
174,4,23,0.6522,5
175,1,17,0.2800,2
175,2,20,0.8500,1
175,3,19,0.7000,5
175,4,23,0.5000,4
176,1,17,0.3000,7
176,2,20,0.6190,2
176,3,19,0.4615,4
176,4,23,0.3158,3
177,1,17,0.5714,2
177,2,20,0.7917,1
177,3,19,0.6500,3
177,4,23,0.8750,4
178,1,17,0.4615,2
178,2,20,0.6190,4
178,3,19,0.3929,5
178,4,23,0.4474,3
179,1,17,0.3182,4
179,2,20,0.6667,5
179,3,19,0.3871,3
179,4,23,0.3333,6
180,1,17,0.2941,1
180,2,20,0.5000,2
180,3,19,0.6154,2
180,4,23,0.5357,5
181,1,17,0.4348,3
181,2,20,0.7500,2
181,3,19,0.6250,6
181,4,23,0.4483,5
182,1,17,0.7143,1
182,2,20,0.8571,2
182,3,19,0.9500,4
182,4,23,0.4848,3
183,1,17,0.2609,2
183,2,20,0.5500,4
183,3,19,0.4286,4
183,4,23,0.3871,5
184,1,17,0.4545,2
184,2,20,0.5500,3
184,3,19,0.4194,3
184,4,23,0.4444,5
185,1,17,0.7391,1
185,2,20,0.4000,2
185,3,19,0.5143,2
185,4,23,0.6000,3
186,1,17,0.5294,1
186,2,20,0.6522,4
186,3,19,0.4545,5
186,4,23,0.4194,3
187,1,17,0.7143,1
187,2,20,0.6000,2
187,3,19,0.7391,3
187,4,23,0.6154,5
188,1,17,0.5556,5
188,2,20,0.6190,4
188,3,19,0.4000,3
188,4,23,0.3784,6
189,1,17,0.6667,1
189,2,20,0.5238,3
189,3,19,0.4815,3
189,4,23,0.3704,4
190,1,17,0.4762,3
190,2,20,0.3810,2
190,3,19,0.6071,2
190,4,23,0.5000,5
191,1,17,0.7143,1
191,2,20,0.3793,2
191,3,19,0.6538,2
191,4,23,0.6333,4
192,1,17,0.5600,2
192,2,20,0.5238,4
192,3,19,0.4138,4
192,4,23,0.4375,3
193,1,17,0.3600,2
193,2,20,0.8500,3
193,3,19,0.8947,4
193,4,23,0.4839,6
194,1,17,0.4348,3
194,2,20,0.9000,4
194,3,19,0.7143,5
194,4,23,0.4828,7
195,1,17,0.6667,1
195,2,20,0.2703,2
195,3,19,0.3939,2
195,4,23,0.7037,4
196,1,17,0.4286,2
196,2,20,0.9000,3
196,3,19,0.5000,5
196,4,23,0.5926,7
197,1,17,0.4500,1
197,2,20,0.5455,5
197,3,19,0.3438,3
197,4,23,0.3333,6
198,1,17,0.3333,3
198,2,20,0.7727,4
198,3,19,0.6190,7
198,4,23,0.4839,5
199,1,17,0.5238,1
199,2,20,0.8095,3
199,3,19,0.4231,4
199,4,23,0.4615,1
