src,dst,sign,weight,share,tier,scope,citation,doi_or_url,fetched,evidence
S22,X19,+,3,,2,global,Sabin 2005; Range of children's exposure during school bus commutes,10.1038/sj.jea.7500414,yes,"Mean in-bus black carbon ranged 0.9 to 19 ug/m3 and NO2 64 to 220 ug/m3 and diesel pollutants were substantially higher inside the bus cabins than ambient measurements."
X19,X06,+,3,,2,global,Behrentz 2005; School bus microenvironments and children's exposure,10.1080/10473289.2005.10464739,yes,"School bus commutes represented 10 percent of a child's day but contributed one-third of a child's 24-hour black carbon exposure on a school day."
X19,E03,+,2,,3,global,Austin 2019; School bus emissions student health and academic performance,10.3386/w25641,yes,"Retrofitting 2656 school bus engines across Georgia produced positive effects on respiratory health measured by a statewide aerobic capacity test."
X19,E06,+,2,,3,global,Austin 2019; School bus emissions student health and academic performance,10.3386/w25641,yes,"Districts that retrofitted school bus engines saw significant test score gains in English and smaller gains in math."
A20,X19,-,2,,2,global,Sabin 2005; Range of children's exposure during school bus commutes,10.1038/sj.jea.7500414,yes,"Black carbon PB-PAH and NO2 were significantly higher inside conventional diesel buses compared to the CNG bus and a bus with a particulate trap was also tested."
A20,X19,-,2,,1,global,Bursey 2025; Electric school bus adoption scoping review,10.1016/j.scitotenv.2025.179843,yes,"The review of 13 studies establishes that emission reductions potential health benefits and economic savings are possible when electric school buses replace diesel buses while in-cabin exposure after electrification remains a knowledge gap."
A26,P32,-,3,,4,global,AFDC 2015; Idle reduction for heavy-duty trucks,https://afdc.energy.gov/files/u/publication/hdv_idling_2015.pdf,yes,"Idling alternatives use up to 95 percent less fuel and an auxiliary power unit uses 0.2 to 0.5 gal/hr against 0.6 to 1.5 gal/hr for idling."
A26,D26,-,3,,4,global,AFDC 2015; Idle reduction for heavy-duty trucks,https://afdc.energy.gov/files/u/publication/hdv_idling_2015.pdf,yes,"The payback assumptions state that auto start-stop runs the engine 30 percent of stationary time so engine-on idle hours fall by 70 percent."
P30,X09,+,3,,2,uae,Cohen 2013; Hazard assessment of UAE incense smoke,10.1016/j.scitotenv.2013.03.101,yes,"Burning two UAE incense types in a 22 m3 chamber simulating a living room gave peak PM of 1.42 mg/m3 CO of 122 ppm NOx of 0.3 ppm and HCHO of 85 ppb with time-weighted PM CO and NOx exceeding regulation values."
P30,X09,+,3,,3,gulf,Amoatey 2020; Ventilation and incense burning in Middle Eastern countries,10.1016/j.scitotenv.2020.139356,yes,"Habitual indoor burning of incense is the major source of coarse PM10 and fine PM2.5 particulate matter in Middle Eastern indoor environments."
P30,E06,+,1,,2,uae,Yeatts 2012; Indoor air pollutants and health in the UAE,10.1289/ehp.1104090,yes,"Burning incense daily was associated with difficulty concentrating POR 3.08 and forgetfulness POR 2.68 among 1590 household members of all ages."
D16,S33,-,1,,3,gulf,Amoatey 2020; Ventilation and incense burning in Middle Eastern countries,10.1016/j.scitotenv.2020.139356,yes,"Harsh ambient climatic conditions in Middle Eastern countries make it impossible for most buildings to utilize natural ventilation and indoor temperatures are very low due to overconsumption of air conditioning."
S33,S32,-,3,,1,global,Wargocki 2020; Classroom air quality and children's performance,10.1016/j.buildenv.2020.106749,yes,"Classroom air quality was characterized by CO2 concentration and the CO2 range of 900 to 2100 ppm corresponds to ventilation rates from 2 to 10 L/s per person."
S33,S32,-,3,,1,global,Fisk 2017; The ventilation problem in schools review,10.1111/ina.12403,yes,"Ventilation rates in classrooms often fall far short of the minimum rates specified in standards with CO2 used as the ventilation indicator throughout the review."
S32,E20,+,3,,1,global,Wargocki 2020; Classroom air quality and children's performance,10.1016/j.buildenv.2020.106749,yes,"Reducing classroom CO2 from 2100 ppm to 900 ppm is predicted to improve performance of psychological tests and school tasks by 12 percent in speed and 2 percent in errors."
S32,E20,+,2,,2,global,Allen 2016; Cognitive function scores with CO2 ventilation and VOCs,10.1289/ehp.1510037,yes,"In a blinded controlled exposure study of 24 office workers CO2 was independently associated with cognitive scores and scores were 101 percent higher on high-ventilation days than on the conventional day."
S33,E20,-,3,,1,global,Fisk 2017; The ventilation problem in schools review,10.1111/ina.12403,yes,"There is compelling evidence from both cross-sectional and intervention studies of an association of increased student performance with increased ventilation rates."
S33,E09,-,2,,1,global,Fisk 2017; The ventilation problem in schools review,10.1111/ina.12403,yes,"There is evidence that reduced respiratory health effects and reduced student absence are associated with increased ventilation rates."
S32,E09,+,1,,1,global,Wargocki 2020; Classroom air quality and children's performance,10.1016/j.buildenv.2020.106749,yes,"Reducing CO2 from 4100 ppm to 1000 ppm would increase daily attendance by 2.5 percent."
S32,E03,+,1,,1,global,Fisk 2017; The ventilation problem in schools review,10.1111/ina.12403,yes,"Reduced respiratory health effects are associated with increased ventilation rates for which CO2 is the review's indicator."
A27,S33,+,3,,1,global,Fisk 2017; The ventilation problem in schools review,10.1111/ina.12403,yes,"Increasing ventilation rates in schools imposes net annual costs of a few dollars to about 10 dollars per person which is less than 0.1 percent of typical US public education spending."
A27,D05,+,1,,1,global,Fisk 2017; The ventilation problem in schools review,10.1111/ina.12403,yes,"Increasing ventilation rates in schools imposes energy costs and can increase HVAC capital costs."
A27,X10,-,3,,2,uae,Arar 2021; Improving indoor air quality in UAE nurseries,10.3390/ijerph182212091,yes,"After new ventilation installation in the surveyed UAE nursery classrooms CH2O and TVOC were reduced by half and TSP by one third and ventilation was the most effective measure ahead of air purifiers."
S26,X10,+,3,,2,global,Rose 2024; Indoor pollution sources and student exposure in classrooms,10.1155/2024/5544298,yes,"Source apportionment in three UK classrooms found outdoor sources account for only 19 to 40 percent of PM10 and 74 to 89 percent of PM2.5 so indoor generated particles supply 60 to 81 percent of classroom PM10."
S26,X10,+,3,,2,global,Ren 2020; Particulate matter in mechanically ventilated high school classrooms,10.1016/j.buildenv.2020.106986,yes,"Indoor and outdoor PM10 did not correlate indicating resuspension from flooring is the primary indoor PM10 source and carpet classrooms had 3.8 times the PM10 of vinyl tile classrooms."
S26,X10,+,2,,2,uae,Jung 2025; Indoor and outdoor PM dynamics in a Dubai daycare,10.70917/fce-2025-040,yes,"In a Dubai daycare room for three-year-olds particles of 3 5 and 10 um showed no correlation with outdoor levels and rose during occupancy from movement and bedding preparation."
S26,X10,+,2,,2,uae,Arar 2021; Improving indoor air quality in UAE nurseries,10.3390/ijerph182212091,yes,"Across 35 UAE nursery classrooms TSP exceeded the WHO IAQ standard and its concentration changed mainly with the physical activity of children."
S12,S34,+,3,,2,gulf,Albuloushi 2026; Sandstorm impact on AC energy efficiency in Kuwait,10.62226/ijarst20262758,yes,"During sandstorm-induced condenser fouling of a 10-ton rooftop unit in Kuwait high-side pressure rose from 275 PSIG at 48 C ambient to about 350 PSIG."
S34,P33,+,2,,2,gulf,Albuloushi 2026; Sandstorm impact on AC energy efficiency in Kuwait,10.62226/ijarst20262758,yes,"Sand accumulation significantly degrades condenser heat transfer efficiency increases compression ratio and raises compressor workload with increased power consumption and current draw."
S34,P33,+,1,,3,global,Siegel 2002; Dirty air conditioners energy implications of coil fouling,https://www.aceee.org/files/proceedings/2002/data/papers/SS02_Panel1_Paper23.pdf,yes,"For a fouled coil that doubles pressure drop air flow falls 5 to 10 percent efficiency and capacity fall 2 to 4 percent and fan power rises 1 to 10 percent with 10 to 20 percent or more for marginal systems."
S34,P33,+,1,,2,global,Morozyuk 2023; Air-cooled condenser fouling in small commercial refrigeration,10.1007/s44189-023-00034-8,yes,"With dust fluff and sand collected from real condensers dust had the greatest negative impact on the refrigeration machine and sand the greatest effect on the condenser itself."
P33,D05,+,1,,2,gulf,Albuloushi 2026; Sandstorm impact on AC energy efficiency in Kuwait,10.62226/ijarst20262758,yes,"Condenser fouling raised compressor discharge temperature and increased power consumption and electrical current draw of the unit."
A28,S34,-,3,,2,gulf,Albuloushi 2026; Sandstorm impact on AC energy efficiency in Kuwait,10.62226/ijarst20262758,yes,"Preventive maintenance and periodic condenser cleaning were found to restore operational efficiency reduce power consumption and extend system lifespan in desert climates."
A28,P33,-,2,,2,gulf,Albuloushi 2026; Sandstorm impact on AC energy efficiency in Kuwait,10.62226/ijarst20262758,yes,"Periodic condenser cleaning restored operational efficiency and reduced power consumption."
A28,S34,-,2,,3,global,Siegel 2002; Dirty air conditioners energy implications of coil fouling,https://www.aceee.org/files/proceedings/2002/data/papers/SS02_Panel1_Paper23.pdf,yes,"The most important parameters determining coil fouling time are filter efficiency and particle concentration and a MERV-12 filter versus MERV-2 markedly lengthens fouling time."
A28,P33,-,2,,3,global,Siegel 2002; Dirty air conditioners energy implications of coil fouling,https://www.aceee.org/files/proceedings/2002/data/papers/SS02_Panel1_Paper23.pdf,yes,"A properly installed air cleaner is predicted to give 10 to 25 percent average energy cost savings over the 15 year life of the heat exchanger."
A21,D05,-,2,,4,abu_dhabi,DoE 2023; Abu Dhabi DSM Regulations implementation,https://www.doe.gov.ae/en/Media-Centre/News/Abu-Dhabi-Department-of-Energy-announces-implementation-of-Demand-Side-Management-Regulations,yes,"The DSM strategy has saved up to 6500 GWh of electricity and targets a 22 percent reduction in electricity consumption by 2030 from the 2013 baseline."
A21,D07,-,2,,4,abu_dhabi,DoE 2023; Abu Dhabi DSM Regulations implementation,https://www.doe.gov.ae/en/Media-Centre/News/Abu-Dhabi-Department-of-Energy-announces-implementation-of-Demand-Side-Management-Regulations,yes,"The DSM strategy has saved 234 million cubic meters of water and targets a 32 percent reduction in water consumption by 2030 from the 2013 baseline."
A21,P25,-,2,,4,abu_dhabi,DoE 2023; Abu Dhabi DSM Regulations implementation,https://www.doe.gov.ae/en/Media-Centre/News/Abu-Dhabi-Department-of-Energy-announces-implementation-of-Demand-Side-Management-Regulations,yes,"The DSM strategy has reduced 3.3 million metric tons of carbon emissions equivalent to an economic benefit of AED 1.1 billion."
A21,D05,-,1,,3,abu_dhabi,Friedrich 2013; DSM impact on Abu Dhabi electricity consumption,10.12720/sgce.3.3.275-282,yes,"An emirate-wide efficiency programme is modelled to give 6.6 percent peak load relief and 9.2 percent annual energy conservation or 450 MW and 3600 GWh on 2010 data."
A21,D06,-,2,,3,abu_dhabi,Friedrich 2013; DSM impact on Abu Dhabi electricity consumption,10.12720/sgce.3.3.275-282,yes,"Well targeted DSM interventions can achieve an average 20 percent improvement of the cooling process in Abu Dhabi."
# STATUS: complete, 51 edges, 24 sources
