src,dst,sign,weight,share,tier,scope,citation,doi_or_url,fetched,evidence
A01,P01,-,2,,2,global,"O'Driscoll 2018, Real world CO2 and NOx emissions from 149 Euro 5 and 6 passenger cars",10.1016/j.scitotenv.2017.11.271,yes,"PEMS tests of 149 cars found gasoline vehicles emitted 86 to 96% less NOx than diesel and Euro 6 diesel urban NOx averaged 0.44 g/km, 11 times the gasoline 0.04 g/km, so the authors call discrimination by Euro standard alone arbitrary and favour real-world limits."
A01,P01,-,1,,4,uae,"GSO 2025, Workshop on the implementation of new vehicle emission limits in the UAE",https://www.gso.org.sa/wp-content/uploads/2025/11/Workshop-The-Implementation-of-new-vehicle-emission-limits-in-the-UAE.pdf,yes,"From 1 January 2026 new models of light and heavy vehicles imported to the UAE must meet at least Euro 6B, from 1 July 2027 all imports must, with 10 ppm sulphur fuel under UAE.S 477:2021 and UAE.S 5018:2021, and Euro 6D or Euro VI/D real driving emissions from 2030 model year."
A01,P02,-,1,,4,uae,"GSO 2025, Workshop on the implementation of new vehicle emission limits in the UAE",https://www.gso.org.sa/wp-content/uploads/2025/11/Workshop-The-Implementation-of-new-vehicle-emission-limits-in-the-UAE.pdf,yes,"The UAE Euro 6B requirement applies gaseous pollutant plus PM plus particle number limits (PN 6x10^11 per km) to petrol and diesel light vehicles and Euro VI/B limits to heavy vehicles."
A01,P02,-,3,,3,global,"Crippa 2016, Forty years of improvements in European air quality",10.5194/acp-16-3825-2016,yes,"The EURO norms for vehicles led to a 50% reduction of PM2.5 from global road transport exhaust emissions, and fuel sulphur directives to an 88% reduction of road SO2, with the increase in energy consumption 1970 to 2010 offsetting 40 to 75% of the gains."
A02,S03,-,2,,2,global,"Eckel 2026, Zero-emissions vehicle adoption and satellite-measured NO2 in California 2019 to 2023",10.1016/j.lanplh.2025.101379,yes,"A within-ZIP-area increase of 200 zero-emission vehicles was associated with a 1.10% (95% CI 1.00 to 1.19) decrease in annual mean TROPOMI NO2, replicated at 0.87% with ground monitors."
A02,P01,-,2,,2,global,"Eckel 2026, Zero-emissions vehicle adoption and satellite-measured NO2 in California 2019 to 2023",10.1016/j.lanplh.2025.101379,yes,"The positive control showed a 0.80% increase in annual NO2 per 800 additional internal combustion vehicles while 200 additional ZEVs gave a 1.10% decrease, which the authors attribute to reduced exhaust emissions."
A02,P04,-,2,,3,global,"Hicks 2023, Quantifying the change of brake wear PM emissions through powertrain electrification",10.1016/j.envpol.2023.122400,yes,"Regenerative braking would reduce brake wear by 64 to 95% despite heavier vehicles, an average 68% cut in urban brake wear PM emission factors, but increases in tyre wear, road wear and resuspension from higher vehicle mass may offset these benefits."
A09,P25,-,3,0.25,4,uae,"ENEC 2026, The Barakah Plant and Climate Change",https://www.enec.ae/barakah-plant/climate-change/,yes,"Barakah's four APR1400 reactors produce 40 TWh a year, around 25% of the UAE's electricity needs, and prevent up to 22.4 million tonnes of carbon emissions every year."
A09,P07,-,1,,4,uae,"MOCCAE 2022, UAE National Air Quality Agenda 2031",https://www.moccae.gov.ae/assets/download/b989a286/UAE%20National%20Air%20Quality%20Agenda%202031.pdf.aspx,yes,"The 2019 national emissions inventory found the energy and transport sectors were the greatest contributors to national NOx, SO2, CO and NMVOC emissions, and program P4 adopts cleaner technology to generate electricity to reduce those emissions."
A10,D05,-,2,,3,abu_dhabi,"Abu Dhabi DoE 2024, Abu Dhabi Energy and Water Efficiency Strategy 2030 (DSM strategy)",https://www.doe.gov.ae/-/media/Project/DOE/Department-Of-Energy/Media-Center-Publications/DSM-strategy---English.pdf,yes,"Up to 2023 the DSM Strategy achieved 8,532 GWh of electricity savings (9.99%) against a 2030 target of 22% (19 TWh), with program 08 focused on efficiency of existing buildings and cooling systems."
A10,P25,-,2,,3,abu_dhabi,"Abu Dhabi DoE 2024, Abu Dhabi Energy and Water Efficiency Strategy 2030 (DSM strategy)",https://www.doe.gov.ae/-/media/Project/DOE/Department-Of-Energy/Media-Center-Publications/DSM-strategy---English.pdf,yes,"The electricity and water savings achieved up to 2023 avoided the emission of approximately 4.3 million tonnes of CO2."
A10,D05,-,2,,4,abu_dhabi,"Climate Policy Database, Estidama Pearl Rating System for new residential and commercial buildings",https://climatepolicydatabase.org/policies/estidama-pearl-rating-system-new-residential-and-commercial-buildings,yes,"Abu Dhabi made the Estidama Pearl Rating mandatory for new residential and commercial buildings in 2010, and the minimum standard Pearl 1 improves building efficiency by 30 to 35% versus the existing baseline."
A12,P16,-,3,,2,global,"Ham 2024, Particulate matter reduction efficiency of sprinkler systems for construction activity",10.1016/j.heliyon.2024.e27765,yes,"In a dust chamber during block cutting, water spraying at 115 bar achieved 95% PM reduction and 80 to 100 bar achieved 83%, while dust suppressant reached 83% at 100 bar and about 70% at 80 bar."
A16,S18,-,2,,1,global,"Kumar 2024, Air pollution abatement from green-blue-grey infrastructure",10.59717/j.xinn-geo.2024.100100,yes,"Across 22 GBGI types with quantitative data the average pollution reduction was 16 plus or minus 21%, with linear features such as street trees and hedges at 23 plus or minus 21%, NOx reduced 12 plus or minus 36%, UFP 27 plus or minus 27%, BC 16 plus or minus 41% and PM2.5 only 1 plus or minus 25%."
A16,S19,+,1,,1,global,"Kumar 2024, Air pollution abatement from green-blue-grey infrastructure",10.59717/j.xinn-geo.2024.100100,yes,"Street trees generally showed adverse effects in street canyons and beneficial outcomes in open-road conditions."
A16,X10,-,1,,2,global,"Matthaios 2024, Effects of urban green space and road proximity on indoor traffic-related PM2.5 NO2 and BC in inner-city schools",10.1038/s41370-024-00669-8,yes,"Across 74 schools over 10 years, greenness (NDVI) within 270 m was associated with lower indoor traffic-related PM2.5 (-0.068, 95% CI -0.124 to -0.013), NO2 (-0.139, 95% CI -0.185 to -0.092) and BC (-0.060, 95% CI -0.115 to -0.005)."
A18,X10,-,3,,2,global,"Matthaios 2024, Effects of urban green space and road proximity on indoor traffic-related PM2.5 NO2 and BC in inner-city schools",10.1038/s41370-024-00669-8,yes,"Indoor traffic-related PM2.5, NO2 and BC showed linear decays of 60%, 35% and 22% respectively for schools located at greater distance from major roads."
A07,S20,-,2,,4,global,"Mayor of London 2021, School Streets Air Quality Study",https://www.london.gov.uk/WHAT-WE-DO/environment/environment-publications/school-streets-air-quality-study,yes,"Breathe London sensors (30 sensors at 18 primary schools in Brent, Enfield and Lambeth) found closing roads around schools at pick-up and drop-off reduced nitrogen dioxide by up to 23%."
A07,D14,-,2,,4,global,"TfL 2021, School Streets reduce nitrogen dioxide by up to 23% during morning drop-off (Local Transport Today)",https://www.transportxtra.com/publications/local-transport-today/news/68299/school-streets-reduce-nitrogen-dioxide-by-up-to-23-during-morning--off-says-tfl/,yes,"TfL reported School Streets had an 18% greater impact on reducing car travel to school compared with the pandemic's 12% reduction, with 81% of parents at 35 surveyed schools finding them suitable."
A06,S03,-,2,,2,global,"Simeonova 2019, Congestion pricing, air pollution and children's health (NBER w24410)",10.3386/w24410,yes,"After the Stockholm congestion charge became permanent, NO2 fell 6.2 units and PM10 4.56 units, a 18.7% and 13.7% reduction relative to pre-charge means, with inner-city traffic down around 20 to 25%."
A06,S02,-,2,,2,global,"Simeonova 2019, Congestion pricing, air pollution and children's health (NBER w24410)",10.3386/w24410,yes,"The permanent congestion charge zone corresponded to a 13.7% reduction in PM10 relative to pre-charge Stockholm levels."
A06,D03,-,2,,2,global,"Simeonova 2019, Congestion pricing, air pollution and children's health (NBER w24410)",10.3386/w24410,yes,"Government estimates suggested inner-city traffic was reduced by around 20 to 25% by the congestion pricing zone, and vehicle counts fell 10% relative to baseline during the in-between period."
A03,D03,-,2,,2,global,"Bauernschuster 2017, The impact of public transit strikes on traffic, accidents, air pollution and health",10.1257/pol.20150414,yes,"Across 71 transit strikes in the five largest German cities 2002 to 2011, total car hours operated increased by 11 to 13% during strikes, so available transit holds car traffic down by that margin."
A03,S01,-,2,,2,global,"Bauernschuster 2017, The impact of public transit strikes on traffic, accidents, air pollution and health",10.1257/pol.20150414,yes,"Transit strikes produced a 14% increase in particle pollution and an 11% increase in respiratory hospital admissions among young children, the reverse of the transit-availability effect."
A03,P25,-,1,,4,abu_dhabi,"Abu Dhabi Mobility 2024, Integrated Transport Centre launches Green Bus services",https://admobility.gov.ae/en/news/green-bus-services,yes,"As the public bus fleet transitions from diesel to renewable energy, annual carbon dioxide emissions in the Emirate of Abu Dhabi are expected to fall by more than 100,000 tonnes, with Abu Dhabi Island to become a public transport green zone by 2030."
A04,X08,-,2,,2,global,"Adar 2015, Adopting clean fuels and technologies on school buses: pollution and health impacts in children",10.1164/rccm.201410-1924OC,yes,"Across 597 trips on 188 school buses, fine and ultrafine particle concentrations on board were 10 to 50% lower on buses using ultra-low-sulphur diesel, diesel oxidation catalysts or closed crankcase ventilation, and ULSD adoption cut absenteeism 8% (95% CI 0.7 to 16%)."
A04,X08,-,1,,1,global,"Bursey 2025, Health economic and environmental impacts of electric school bus adoption: scoping review",10.1016/j.scitotenv.2025.179843,yes,"Thirteen studies establish that emission reductions, potential health benefits and economic savings are possible when electric school buses replace diesel school buses, while in-cabin exposure after electrification remains a knowledge gap."
A11,P15,-,3,,4,abu_dhabi,"ADNOC 2020, ADNOC announces comprehensive 2030 sustainability goals",https://www.adnoc.ae/news-and-media/press-releases/2020/adnoc-announces-comprehensive-2030-sustainability-goals-as-it-extends-its-legacy,yes,"ADNOC states its zero routine flaring policy has reduced the volume of natural gas flared by more than 90% since the company's inception and it targets a 25% cut in GHG intensity by 2030."
A11,P14,-,1,,4,abu_dhabi,"ADNOC 2026, Decarbonizing our operations",https://www.adnoc.ae/en/towards-net-zero/decarbonizing-our-operations,yes,"ADNOC reports 0.05% upstream methane intensity, a near-zero methane goal by 2030 and rollout of the latest leak detection technologies, with OGMP 2.0 Gold Standard reporting for 2024 and 2025."
A11,P12,-,1,,3,global,"Crippa 2016, Forty years of improvements in European air quality",10.5194/acp-16-3825-2016,yes,"Emission reductions from pre-combustion fuel preparation and post-combustion flue gas desulfurization units were counterbalanced globally by increased fuel use, leaving power and industry SO2 flat at 68 to 75 Tg from 1970 to 2010, with end-of-pipe controls giving over 95% reduction in industrialised regions."
A14,X03,-,2,,1,global,"D'Antoni 2017, Predictors of adherence to health advice accompanying air quality warning systems: systematic review",10.1186/s12940-017-0307-4,yes,"Across 21 studies, actual adherence to advice to reduce or reschedule outdoor activity during poor air quality episodes ranged from 9.7% to 57% (median 31%), and adherence to wider protective behaviours ranged 17.7% to 98.1% (median 46%)."
A13,X03,-,1,,4,uae,"MOCCAE 2022, UAE National Air Quality Agenda 2031",https://www.moccae.gov.ae/assets/download/b989a286/UAE%20National%20Air%20Quality%20Agenda%202031.pdf.aspx,yes,"The Agenda lists as a gap that there is currently no system to warn the public about inevitable high-level pollution episodes such as dust storms and to provide guidance on how to reduce personal exposure."
A13,X11,-,1,,1,global,"Sarani 2025, Mitigation strategies of healthcare centers for dust hazard: systematic review",10.4103/jehp.jehp_1588_23,yes,"Across 10 studies the most important mitigation measures were risk assessment, establishment and improvement of the early warning system, and intersectoral coordination, to reduce health consequences of dust storms in the affected community."
A17,X11,-,2,,1,global,"Hlophe 2024, Interventions to reduce the impact of outdoor air pollution on asthma: systematic review",10.7196/AJTCCM.2024.v30i3.1992,yes,"Mobile application alerts for outdoor smoke pollution produced behavioural change and improved Asthma Control Test scores over 8 weeks from 20.0 (SD 2.4) to 21.5 (SD 2.3), p<0.001, and clean air policy raised FEV1 by 0.01 L/year."
# STATUS: complete, 44 edges, 29 sources
